ability_id,机制,来源,媒介,接触方式,结果,一句话
AB0239,吞噬,血脉,光,地面蔓延,吸收结构,以血脉为源、光为媒介：吞噬；地面蔓延 → 吸收结构
AB0240,状态交换,异化,影,接触命中,改变因果顺序,以异化为源、影为媒介：状态交换；接触命中 → 改变因果顺序
AB0241,转移,器物,尘,视线锁定,标记目标,以器物为源、尘为媒介：转移；视线锁定 → 标记目标
AB0242,锚定,异化,尘,地面蔓延,标记目标,以异化为源、尘为媒介：锚定；地面蔓延 → 标记目标
AB0243,折叠,残缺体质,光,地面蔓延,改变因果顺序,以残缺体质为源、光为媒介：折叠；地面蔓延 → 改变因果顺序
AB0244,空间连接,残缺体质,光,视线锁定,造成位移,以残缺体质为源、光为媒介：空间连接；视线锁定 → 造成位移
AB0245,分解,契约,气,地面蔓延,改变因果顺序,以契约为源、气为媒介：分解；地面蔓延 → 改变因果顺序
AB0246,伪装,残缺体质,丝,范围笼罩,复制信息,以残缺体质为源、丝为媒介：伪装；范围笼罩 → 复制信息
AB0247,位置改变,血脉,丝,范围笼罩,交换位置,以血脉为源、丝为媒介：位置改变；范围笼罩 → 交换位置
AB0248,方向改变,共鸣,血,媒介传导,造成位移,以共鸣为源、血为媒介：方向改变；媒介传导 → 造成位移
AB0249,锚定,器物,声,范围笼罩,制造错误感知,以器物为源、声为媒介：锚定；范围笼罩 → 制造错误感知
AB0250,错位,血脉,影,媒介传导,吸收结构,以血脉为源、影为媒介：错位；媒介传导 → 吸收结构
AB0251,重构,天授,纹,地面蔓延,改变身体规则,以天授为源、纹为媒介：重构；地面蔓延 → 改变身体规则
AB0252,状态交换,异化,声,地面蔓延,改变因果顺序,以异化为源、声为媒介：状态交换；地面蔓延 → 改变因果顺序
AB0253,折叠,共鸣,雷,视线锁定,交换位置,以共鸣为源、雷为媒介：折叠；视线锁定 → 交换位置
AB0254,转移,异化,纹,接触命中,制造错误感知,以异化为源、纹为媒介：转移；接触命中 → 制造错误感知
AB0255,剥离,血脉,尘,范围笼罩,限制变化,以血脉为源、尘为媒介：剥离；范围笼罩 → 限制变化
AB0256,锚定,血脉,血,媒介传导,交换位置,以血脉为源、血为媒介：锚定；媒介传导 → 交换位置
AB0257,方向改变,天授,影,地面蔓延,标记目标,以天授为源、影为媒介：方向改变；地面蔓延 → 标记目标
AB0258,方向改变,器物,丝,媒介传导,交换位置,以器物为源、丝为媒介：方向改变；媒介传导 → 交换位置
AB0259,分解,功法,光,地面蔓延,改变身体规则,以功法为源、光为媒介：分解；地面蔓延 → 改变身体规则
AB0260,空间连接,契约,丝,视线锁定,改变身体规则,以契约为源、丝为媒介：空间连接；视线锁定 → 改变身体规则
AB0261,复制,异化,声,范围笼罩,复制信息,以异化为源、声为媒介：复制；范围笼罩 → 复制信息
AB0262,强化,天授,光,媒介传导,交换位置,以天授为源、光为媒介：强化；媒介传导 → 交换位置
AB0263,冻结,器物,光,媒介传导,限制变化,以器物为源、光为媒介：冻结；媒介传导 → 限制变化
AB0264,错位,血脉,气,范围笼罩,交换位置,以血脉为源、气为媒介：错位；范围笼罩 → 交换位置
AB0265,伪装,共鸣,尘,视线锁定,复制信息,以共鸣为源、尘为媒介：伪装；视线锁定 → 复制信息
AB0266,回响,血脉,雾,接触命中,改变因果顺序,以血脉为源、雾为媒介：回响；接触命中 → 改变因果顺序
AB0267,共振,残缺体质,尘,接触命中,吸收结构,以残缺体质为源、尘为媒介：共振；接触命中 → 吸收结构
AB0268,分解,共鸣,尘,视线锁定,改变身体规则,以共鸣为源、尘为媒介：分解；视线锁定 → 改变身体规则
AB0269,空间连接,残缺体质,影,范围笼罩,剥夺行动,以残缺体质为源、影为媒介：空间连接；范围笼罩 → 剥夺行动
AB0270,共振,血脉,气,视线锁定,剥夺行动,以血脉为源、气为媒介：共振；视线锁定 → 剥夺行动
AB0271,吞噬,器物,气,范围笼罩,剥夺行动,以器物为源、气为媒介：吞噬；范围笼罩 → 剥夺行动
AB0272,冻结,异化,影,接触命中,交换位置,以异化为源、影为媒介：冻结；接触命中 → 交换位置
AB0273,冻结,共鸣,尘,视线锁定,造成位移,以共鸣为源、尘为媒介：冻结；视线锁定 → 造成位移
AB0274,状态交换,功法,影,媒介传导,交换位置,以功法为源、影为媒介：状态交换；媒介传导 → 交换位置
AB0275,削弱,天授,纹,地面蔓延,吸收结构,以天授为源、纹为媒介：削弱；地面蔓延 → 吸收结构
AB0276,冻结,残缺体质,丝,范围笼罩,剥夺行动,以残缺体质为源、丝为媒介：冻结；范围笼罩 → 剥夺行动
AB0277,削弱,共鸣,纹,媒介传导,标记目标,以共鸣为源、纹为媒介：削弱；媒介传导 → 标记目标
AB0278,削弱,异化,影,地面蔓延,制造错误感知,以异化为源、影为媒介：削弱；地面蔓延 → 制造错误感知
AB0279,伪装,共鸣,雷,接触命中,造成位移,以共鸣为源、雷为媒介：伪装；接触命中 → 造成位移
AB0280,位置改变,器物,声,范围笼罩,标记目标,以器物为源、声为媒介：位置改变；范围笼罩 → 标记目标
AB0281,寄生,天授,光,视线锁定,改变因果顺序,以天授为源、光为媒介：寄生；视线锁定 → 改变因果顺序
AB0282,延迟,共鸣,气,媒介传导,复制信息,以共鸣为源、气为媒介：延迟；媒介传导 → 复制信息
AB0283,吞噬,器物,影,地面蔓延,复制信息,以器物为源、影为媒介：吞噬；地面蔓延 → 复制信息
AB0284,冻结,器物,气,视线锁定,复制信息,以器物为源、气为媒介：冻结；视线锁定 → 复制信息
AB0285,状态交换,天授,丝,地面蔓延,剥夺行动,以天授为源、丝为媒介：状态交换；地面蔓延 → 剥夺行动
AB0286,状态交换,契约,纹,视线锁定,限制变化,以契约为源、纹为媒介：状态交换；视线锁定 → 限制变化
AB0287,锚定,血脉,纹,接触命中,标记目标,以血脉为源、纹为媒介：锚定；接触命中 → 标记目标
AB0288,折叠,功法,雷,媒介传导,制造错误感知,以功法为源、雷为媒介：折叠；媒介传导 → 制造错误感知
AB0289,寄生,天授,雾,地面蔓延,剥夺行动,以天授为源、雾为媒介：寄生；地面蔓延 → 剥夺行动
AB0290,复制,血脉,声,视线锁定,吸收结构,以血脉为源、声为媒介：复制；视线锁定 → 吸收结构
AB0291,吞噬,血脉,雾,媒介传导,吸收结构,以血脉为源、雾为媒介：吞噬；媒介传导 → 吸收结构
AB0292,剥离,残缺体质,血,接触命中,制造错误感知,以残缺体质为源、血为媒介：剥离；接触命中 → 制造错误感知
AB0293,嵌套,器物,纹,媒介传导,限制变化,以器物为源、纹为媒介：嵌套；媒介传导 → 限制变化
AB0294,复制,残缺体质,气,视线锁定,限制变化,以残缺体质为源、气为媒介：复制；视线锁定 → 限制变化
AB0295,加速,血脉,气,范围笼罩,改变因果顺序,以血脉为源、气为媒介：加速；范围笼罩 → 改变因果顺序
AB0296,剥离,器物,纹,媒介传导,吸收结构,以器物为源、纹为媒介：剥离；媒介传导 → 吸收结构
AB0297,吞噬,共鸣,纹,视线锁定,交换位置,以共鸣为源、纹为媒介：吞噬；视线锁定 → 交换位置
AB0298,强化,契约,声,接触命中,改变身体规则,以契约为源、声为媒介：强化；接触命中 → 改变身体规则
AB0299,共振,功法,气,视线锁定,剥夺行动,以功法为源、气为媒介：共振；视线锁定 → 剥夺行动
AB0300,共振,契约,影,视线锁定,改变因果顺序,以契约为源、影为媒介：共振；视线锁定 → 改变因果顺序
AB0301,加速,天授,雷,媒介传导,剥夺行动,以天授为源、雷为媒介：加速；媒介传导 → 剥夺行动
AB0302,错位,天授,雷,范围笼罩,交换位置,以天授为源、雷为媒介：错位；范围笼罩 → 交换位置
AB0303,回响,功法,光,地面蔓延,剥夺行动,以功法为源、光为媒介：回响；地面蔓延 → 剥夺行动
AB0304,状态交换,契约,尘,接触命中,标记目标,以契约为源、尘为媒介：状态交换；接触命中 → 标记目标
AB0305,回溯,血脉,纹,接触命中,吸收结构,以血脉为源、纹为媒介：回溯；接触命中 → 吸收结构
AB0306,嵌套,血脉,雾,地面蔓延,改变身体规则,以血脉为源、雾为媒介：嵌套；地面蔓延 → 改变身体规则
AB0307,寄生,共鸣,光,地面蔓延,改变身体规则,以共鸣为源、光为媒介：寄生；地面蔓延 → 改变身体规则
AB0308,锚定,天授,雷,范围笼罩,剥夺行动,以天授为源、雷为媒介：锚定；范围笼罩 → 剥夺行动
AB0309,空间连接,天授,雾,视线锁定,改变身体规则,以天授为源、雾为媒介：空间连接；视线锁定 → 改变身体规则
AB0310,记录,天授,声,范围笼罩,标记目标,以天授为源、声为媒介：记录；范围笼罩 → 标记目标
AB0311,嵌套,契约,血,接触命中,复制信息,以契约为源、血为媒介：嵌套；接触命中 → 复制信息
AB0312,标记,共鸣,雾,范围笼罩,标记目标,以共鸣为源、雾为媒介：标记；范围笼罩 → 标记目标
AB0313,共振,器物,尘,接触命中,制造错误感知,以器物为源、尘为媒介：共振；接触命中 → 制造错误感知
AB0314,转移,异化,气,范围笼罩,改变因果顺序,以异化为源、气为媒介：转移；范围笼罩 → 改变因果顺序
AB0315,伪装,契约,声,媒介传导,复制信息,以契约为源、声为媒介：伪装；媒介传导 → 复制信息
AB0316,重构,功法,纹,地面蔓延,制造错误感知,以功法为源、纹为媒介：重构；地面蔓延 → 制造错误感知
AB0317,加速,契约,影,媒介传导,限制变化,以契约为源、影为媒介：加速；媒介传导 → 限制变化
AB0318,回响,天授,雾,接触命中,改变身体规则,以天授为源、雾为媒介：回响；接触命中 → 改变身体规则
AB0319,复制,异化,雾,视线锁定,改变身体规则,以异化为源、雾为媒介：复制；视线锁定 → 改变身体规则
AB0320,转移,天授,声,媒介传导,剥夺行动,以天授为源、声为媒介：转移；媒介传导 → 剥夺行动
AB0321,错位,血脉,尘,接触命中,限制变化,以血脉为源、尘为媒介：错位；接触命中 → 限制变化
AB0322,共生,血脉,纹,媒介传导,吸收结构,以血脉为源、纹为媒介：共生；媒介传导 → 吸收结构
AB0323,强化,契约,尘,媒介传导,吸收结构,以契约为源、尘为媒介：强化；媒介传导 → 吸收结构
AB0324,冻结,功法,丝,地面蔓延,造成位移,以功法为源、丝为媒介：冻结；地面蔓延 → 造成位移
AB0325,转移,血脉,雾,视线锁定,改变因果顺序,以血脉为源、雾为媒介：转移；视线锁定 → 改变因果顺序
AB0326,削弱,共鸣,雾,地面蔓延,剥夺行动,以共鸣为源、雾为媒介：削弱；地面蔓延 → 剥夺行动
AB0327,记录,异化,雷,媒介传导,改变身体规则,以异化为源、雷为媒介：记录；媒介传导 → 改变身体规则
AB0328,标记,器物,声,地面蔓延,吸收结构,以器物为源、声为媒介：标记；地面蔓延 → 吸收结构
AB0329,方向改变,血脉,尘,接触命中,剥夺行动,以血脉为源、尘为媒介：方向改变；接触命中 → 剥夺行动
AB0330,加速,残缺体质,影,视线锁定,标记目标,以残缺体质为源、影为媒介：加速；视线锁定 → 标记目标
AB0331,重构,天授,声,视线锁定,改变身体规则,以天授为源、声为媒介：重构；视线锁定 → 改变身体规则
AB0332,状态交换,血脉,声,接触命中,限制变化,以血脉为源、声为媒介：状态交换；接触命中 → 限制变化
AB0333,吞噬,残缺体质,雷,地面蔓延,造成位移,以残缺体质为源、雷为媒介：吞噬；地面蔓延 → 造成位移
AB0334,共生,血脉,尘,范围笼罩,标记目标,以血脉为源、尘为媒介：共生；范围笼罩 → 标记目标
AB0335,位置改变,天授,光,范围笼罩,标记目标,以天授为源、光为媒介：位置改变；范围笼罩 → 标记目标
AB0336,转移,器物,光,地面蔓延,限制变化,以器物为源、光为媒介：转移；地面蔓延 → 限制变化
AB0337,错位,共鸣,尘,接触命中,交换位置,以共鸣为源、尘为媒介：错位；接触命中 → 交换位置
AB0338,吞噬,契约,雷,接触命中,标记目标,以契约为源、雷为媒介：吞噬；接触命中 → 标记目标
AB0339,分解,异化,纹,视线锁定,改变身体规则,以异化为源、纹为媒介：分解；视线锁定 → 改变身体规则
AB0340,冻结,血脉,影,范围笼罩,改变因果顺序,以血脉为源、影为媒介：冻结；范围笼罩 → 改变因果顺序
AB0341,状态交换,天授,影,媒介传导,造成位移,以天授为源、影为媒介：状态交换；媒介传导 → 造成位移
AB0342,回溯,残缺体质,雾,媒介传导,复制信息,以残缺体质为源、雾为媒介：回溯；媒介传导 → 复制信息
AB0343,记录,天授,尘,地面蔓延,造成位移,以天授为源、尘为媒介：记录；地面蔓延 → 造成位移
AB0344,分解,功法,血,媒介传导,改变身体规则,以功法为源、血为媒介：分解；媒介传导 → 改变身体规则
AB0345,重构,功法,雷,媒介传导,限制变化,以功法为源、雷为媒介：重构；媒介传导 → 限制变化
AB0346,吞噬,契约,雾,地面蔓延,造成位移,以契约为源、雾为媒介：吞噬；地面蔓延 → 造成位移
AB0347,标记,异化,纹,地面蔓延,限制变化,以异化为源、纹为媒介：标记；地面蔓延 → 限制变化
AB0348,剥离,功法,丝,媒介传导,标记目标,以功法为源、丝为媒介：剥离；媒介传导 → 标记目标
AB0349,强化,功法,雷,地面蔓延,复制信息,以功法为源、雷为媒介：强化；地面蔓延 → 复制信息
AB0350,状态交换,残缺体质,雾,地面蔓延,标记目标,以残缺体质为源、雾为媒介：状态交换；地面蔓延 → 标记目标
AB0351,共生,血脉,声,视线锁定,交换位置,以血脉为源、声为媒介：共生；视线锁定 → 交换位置
AB0352,折叠,异化,丝,媒介传导,限制变化,以异化为源、丝为媒介：折叠；媒介传导 → 限制变化
AB0353,强化,功法,气,视线锁定,吸收结构,以功法为源、气为媒介：强化；视线锁定 → 吸收结构
AB0354,位置改变,异化,声,视线锁定,交换位置,以异化为源、声为媒介：位置改变；视线锁定 → 交换位置
AB0355,折叠,残缺体质,纹,媒介传导,限制变化,以残缺体质为源、纹为媒介：折叠；媒介传导 → 限制变化
AB0356,削弱,共鸣,丝,视线锁定,吸收结构,以共鸣为源、丝为媒介：削弱；视线锁定 → 吸收结构
AB0357,重构,契约,声,视线锁定,限制变化,以契约为源、声为媒介：重构；视线锁定 → 限制变化
AB0358,错位,器物,雾,范围笼罩,吸收结构,以器物为源、雾为媒介：错位；范围笼罩 → 吸收结构
AB0359,共生,异化,光,视线锁定,制造错误感知,以异化为源、光为媒介：共生；视线锁定 → 制造错误感知
AB0360,方向改变,异化,丝,媒介传导,复制信息,以异化为源、丝为媒介：方向改变；媒介传导 → 复制信息
AB0361,共振,异化,血,接触命中,制造错误感知,以异化为源、血为媒介：共振；接触命中 → 制造错误感知
AB0362,回响,共鸣,纹,接触命中,吸收结构,以共鸣为源、纹为媒介：回响；接触命中 → 吸收结构
AB0363,削弱,残缺体质,尘,范围笼罩,限制变化,以残缺体质为源、尘为媒介：削弱；范围笼罩 → 限制变化
AB0364,记录,残缺体质,影,地面蔓延,剥夺行动,以残缺体质为源、影为媒介：记录；地面蔓延 → 剥夺行动
AB0365,复制,契约,声,接触命中,吸收结构,以契约为源、声为媒介：复制；接触命中 → 吸收结构
AB0366,寄生,共鸣,纹,接触命中,剥夺行动,以共鸣为源、纹为媒介：寄生；接触命中 → 剥夺行动
AB0367,剥离,器物,雷,地面蔓延,标记目标,以器物为源、雷为媒介：剥离；地面蔓延 → 标记目标
AB0368,方向改变,器物,雾,视线锁定,标记目标,以器物为源、雾为媒介：方向改变；视线锁定 → 标记目标
AB0369,寄生,异化,影,媒介传导,限制变化,以异化为源、影为媒介：寄生；媒介传导 → 限制变化
AB0370,寄生,器物,声,视线锁定,改变因果顺序,以器物为源、声为媒介：寄生；视线锁定 → 改变因果顺序
AB0371,方向改变,共鸣,纹,范围笼罩,造成位移,以共鸣为源、纹为媒介：方向改变；范围笼罩 → 造成位移
AB0372,伪装,异化,雾,视线锁定,交换位置,以异化为源、雾为媒介：伪装；视线锁定 → 交换位置
AB0373,复制,天授,雷,接触命中,限制变化,以天授为源、雷为媒介：复制；接触命中 → 限制变化
AB0374,强化,天授,血,接触命中,限制变化,以天授为源、血为媒介：强化；接触命中 → 限制变化
AB0375,状态交换,契约,血,范围笼罩,制造错误感知,以契约为源、血为媒介：状态交换；范围笼罩 → 制造错误感知
AB0376,吞噬,共鸣,雾,媒介传导,造成位移,以共鸣为源、雾为媒介：吞噬；媒介传导 → 造成位移
AB0377,状态交换,共鸣,血,媒介传导,吸收结构,以共鸣为源、血为媒介：状态交换；媒介传导 → 吸收结构
AB0378,寄生,器物,血,地面蔓延,复制信息,以器物为源、血为媒介：寄生；地面蔓延 → 复制信息
AB0379,分解,残缺体质,影,视线锁定,制造错误感知,以残缺体质为源、影为媒介：分解；视线锁定 → 制造错误感知
AB0380,伪装,血脉,气,范围笼罩,吸收结构,以血脉为源、气为媒介：伪装；范围笼罩 → 吸收结构
AB0381,冻结,契约,雾,视线锁定,剥夺行动,以契约为源、雾为媒介：冻结；视线锁定 → 剥夺行动
AB0382,状态交换,天授,丝,范围笼罩,制造错误感知,以天授为源、丝为媒介：状态交换；范围笼罩 → 制造错误感知
AB0383,加速,残缺体质,雾,地面蔓延,改变身体规则,以残缺体质为源、雾为媒介：加速；地面蔓延 → 改变身体规则
AB0384,分解,功法,气,范围笼罩,改变身体规则,以功法为源、气为媒介：分解；范围笼罩 → 改变身体规则
AB0385,转移,共鸣,气,视线锁定,限制变化,以共鸣为源、气为媒介：转移；视线锁定 → 限制变化
AB0386,寄生,残缺体质,尘,视线锁定,改变身体规则,以残缺体质为源、尘为媒介：寄生；视线锁定 → 改变身体规则
AB0387,削弱,器物,血,接触命中,标记目标,以器物为源、血为媒介：削弱；接触命中 → 标记目标
AB0388,位置改变,共鸣,雾,媒介传导,复制信息,以共鸣为源、雾为媒介：位置改变；媒介传导 → 复制信息
AB0389,伪装,残缺体质,光,视线锁定,制造错误感知,以残缺体质为源、光为媒介：伪装；视线锁定 → 制造错误感知
AB0390,回溯,功法,雷,范围笼罩,限制变化,以功法为源、雷为媒介：回溯；范围笼罩 → 限制变化
AB0391,分解,血脉,光,范围笼罩,剥夺行动,以血脉为源、光为媒介：分解；范围笼罩 → 剥夺行动
AB0392,回响,契约,尘,视线锁定,造成位移,以契约为源、尘为媒介：回响；视线锁定 → 造成位移
AB0393,削弱,异化,气,视线锁定,复制信息,以异化为源、气为媒介：削弱；视线锁定 → 复制信息
AB0394,加速,天授,气,接触命中,造成位移,以天授为源、气为媒介：加速；接触命中 → 造成位移
AB0395,标记,契约,雷,媒介传导,复制信息,以契约为源、雷为媒介：标记；媒介传导 → 复制信息
AB0396,延迟,器物,丝,地面蔓延,吸收结构,以器物为源、丝为媒介：延迟；地面蔓延 → 吸收结构
AB0397,延迟,功法,尘,视线锁定,吸收结构,以功法为源、尘为媒介：延迟；视线锁定 → 吸收结构
AB0398,延迟,功法,丝,媒介传导,限制变化,以功法为源、丝为媒介：延迟；媒介传导 → 限制变化
AB0399,重构,天授,雷,范围笼罩,交换位置,以天授为源、雷为媒介：重构；范围笼罩 → 交换位置
AB0400,共振,天授,尘,地面蔓延,剥夺行动,以天授为源、尘为媒介：共振；地面蔓延 → 剥夺行动
AB0401,共生,残缺体质,雾,接触命中,交换位置,以残缺体质为源、雾为媒介：共生；接触命中 → 交换位置
AB0402,锚定,残缺体质,声,视线锁定,剥夺行动,以残缺体质为源、声为媒介：锚定；视线锁定 → 剥夺行动
AB0403,削弱,残缺体质,气,媒介传导,改变身体规则,以残缺体质为源、气为媒介：削弱；媒介传导 → 改变身体规则
AB0404,位置改变,功法,雾,视线锁定,制造错误感知,以功法为源、雾为媒介：位置改变；视线锁定 → 制造错误感知
AB0405,加速,器物,丝,接触命中,交换位置,以器物为源、丝为媒介：加速；接触命中 → 交换位置
AB0406,重构,器物,气,地面蔓延,造成位移,以器物为源、气为媒介：重构；地面蔓延 → 造成位移
AB0407,强化,器物,气,接触命中,造成位移,以器物为源、气为媒介：强化；接触命中 → 造成位移
AB0408,加速,功法,影,范围笼罩,交换位置,以功法为源、影为媒介：加速；范围笼罩 → 交换位置
AB0409,重构,共鸣,气,视线锁定,造成位移,以共鸣为源、气为媒介：重构；视线锁定 → 造成位移
AB0410,位置改变,残缺体质,气,媒介传导,剥夺行动,以残缺体质为源、气为媒介：位置改变；媒介传导 → 剥夺行动
AB0411,共生,器物,声,接触命中,吸收结构,以器物为源、声为媒介：共生；接触命中 → 吸收结构
AB0412,方向改变,血脉,雷,视线锁定,限制变化,以血脉为源、雷为媒介：方向改变；视线锁定 → 限制变化
AB0413,强化,残缺体质,光,范围笼罩,改变因果顺序,以残缺体质为源、光为媒介：强化；范围笼罩 → 改变因果顺序
AB0414,吞噬,天授,丝,媒介传导,改变身体规则,以天授为源、丝为媒介：吞噬；媒介传导 → 改变身体规则
AB0415,伪装,血脉,纹,接触命中,限制变化,以血脉为源、纹为媒介：伪装；接触命中 → 限制变化
AB0416,锚定,器物,声,媒介传导,制造错误感知,以器物为源、声为媒介：锚定；媒介传导 → 制造错误感知
AB0417,错位,残缺体质,影,视线锁定,限制变化,以残缺体质为源、影为媒介：错位；视线锁定 → 限制变化
AB0418,位置改变,血脉,影,媒介传导,造成位移,以血脉为源、影为媒介：位置改变；媒介传导 → 造成位移
AB0419,转移,契约,气,范围笼罩,吸收结构,以契约为源、气为媒介：转移；范围笼罩 → 吸收结构
AB0420,加速,血脉,雾,地面蔓延,交换位置,以血脉为源、雾为媒介：加速；地面蔓延 → 交换位置
AB0421,冻结,残缺体质,尘,地面蔓延,改变因果顺序,以残缺体质为源、尘为媒介：冻结；地面蔓延 → 改变因果顺序
AB0422,标记,器物,丝,接触命中,吸收结构,以器物为源、丝为媒介：标记；接触命中 → 吸收结构
AB0423,分解,残缺体质,尘,媒介传导,造成位移,以残缺体质为源、尘为媒介：分解；媒介传导 → 造成位移
AB0424,加速,功法,影,视线锁定,交换位置,以功法为源、影为媒介：加速；视线锁定 → 交换位置
AB0425,吞噬,残缺体质,气,媒介传导,吸收结构,以残缺体质为源、气为媒介：吞噬；媒介传导 → 吸收结构
AB0426,回响,残缺体质,气,媒介传导,改变因果顺序,以残缺体质为源、气为媒介：回响；媒介传导 → 改变因果顺序
AB0427,嵌套,功法,纹,范围笼罩,标记目标,以功法为源、纹为媒介：嵌套；范围笼罩 → 标记目标
AB0428,错位,器物,雷,视线锁定,造成位移,以器物为源、雷为媒介：错位；视线锁定 → 造成位移
AB0429,回溯,残缺体质,雷,接触命中,改变因果顺序,以残缺体质为源、雷为媒介：回溯；接触命中 → 改变因果顺序
AB0430,状态交换,残缺体质,雷,媒介传导,限制变化,以残缺体质为源、雷为媒介：状态交换；媒介传导 → 限制变化
AB0431,剥离,异化,雷,接触命中,限制变化,以异化为源、雷为媒介：剥离；接触命中 → 限制变化
AB0432,回响,异化,雷,范围笼罩,制造错误感知,以异化为源、雷为媒介：回响；范围笼罩 → 制造错误感知
AB0433,共生,天授,血,范围笼罩,改变因果顺序,以天授为源、血为媒介：共生；范围笼罩 → 改变因果顺序
AB0434,吞噬,共鸣,雾,范围笼罩,交换位置,以共鸣为源、雾为媒介：吞噬；范围笼罩 → 交换位置
AB0435,削弱,契约,雷,接触命中,造成位移,以契约为源、雷为媒介：削弱；接触命中 → 造成位移
AB0436,回溯,功法,尘,地面蔓延,造成位移,以功法为源、尘为媒介：回溯；地面蔓延 → 造成位移
AB0437,位置改变,血脉,雷,接触命中,制造错误感知,以血脉为源、雷为媒介：位置改变；接触命中 → 制造错误感知
AB0438,共生,残缺体质,丝,视线锁定,交换位置,以残缺体质为源、丝为媒介：共生；视线锁定 → 交换位置
AB0439,伪装,异化,纹,范围笼罩,限制变化,以异化为源、纹为媒介：伪装；范围笼罩 → 限制变化
AB0440,方向改变,共鸣,光,地面蔓延,造成位移,以共鸣为源、光为媒介：方向改变；地面蔓延 → 造成位移
AB0441,折叠,契约,声,视线锁定,标记目标,以契约为源、声为媒介：折叠；视线锁定 → 标记目标
AB0442,方向改变,残缺体质,纹,地面蔓延,改变身体规则,以残缺体质为源、纹为媒介：方向改变；地面蔓延 → 改变身体规则
AB0443,状态交换,残缺体质,血,范围笼罩,剥夺行动,以残缺体质为源、血为媒介：状态交换；范围笼罩 → 剥夺行动
AB0444,分解,天授,纹,媒介传导,复制信息,以天授为源、纹为媒介：分解；媒介传导 → 复制信息
AB0445,回溯,契约,尘,范围笼罩,改变身体规则,以契约为源、尘为媒介：回溯；范围笼罩 → 改变身体规则
AB0446,剥离,血脉,雷,地面蔓延,改变因果顺序,以血脉为源、雷为媒介：剥离；地面蔓延 → 改变因果顺序
AB0447,空间连接,天授,血,媒介传导,吸收结构,以天授为源、血为媒介：空间连接；媒介传导 → 吸收结构
AB0448,伪装,功法,血,视线锁定,造成位移,以功法为源、血为媒介：伪装；视线锁定 → 造成位移
AB0449,冻结,异化,丝,地面蔓延,吸收结构,以异化为源、丝为媒介：冻结；地面蔓延 → 吸收结构
AB0450,回溯,血脉,声,范围笼罩,标记目标,以血脉为源、声为媒介：回溯；范围笼罩 → 标记目标
AB0451,延迟,残缺体质,丝,接触命中,吸收结构,以残缺体质为源、丝为媒介：延迟；接触命中 → 吸收结构
AB0452,空间连接,血脉,气,视线锁定,制造错误感知,以血脉为源、气为媒介：空间连接；视线锁定 → 制造错误感知
AB0453,寄生,天授,影,接触命中,改变身体规则,以天授为源、影为媒介：寄生；接触命中 → 改变身体规则
AB0454,方向改变,血脉,光,地面蔓延,吸收结构,以血脉为源、光为媒介：方向改变；地面蔓延 → 吸收结构
AB0455,位置改变,功法,声,接触命中,剥夺行动,以功法为源、声为媒介：位置改变；接触命中 → 剥夺行动
AB0456,回响,契约,丝,范围笼罩,造成位移,以契约为源、丝为媒介：回响；范围笼罩 → 造成位移
AB0457,记录,契约,声,视线锁定,交换位置,以契约为源、声为媒介：记录；视线锁定 → 交换位置
AB0458,削弱,天授,丝,接触命中,标记目标,以天授为源、丝为媒介：削弱；接触命中 → 标记目标
AB0459,冻结,血脉,纹,地面蔓延,改变因果顺序,以血脉为源、纹为媒介：冻结；地面蔓延 → 改变因果顺序
AB0460,加速,天授,影,地面蔓延,限制变化,以天授为源、影为媒介：加速；地面蔓延 → 限制变化
AB0461,转移,残缺体质,声,视线锁定,改变身体规则,以残缺体质为源、声为媒介：转移；视线锁定 → 改变身体规则
AB0462,嵌套,天授,纹,视线锁定,限制变化,以天授为源、纹为媒介：嵌套；视线锁定 → 限制变化
AB0463,状态交换,器物,丝,范围笼罩,改变因果顺序,以器物为源、丝为媒介：状态交换；范围笼罩 → 改变因果顺序
AB0464,伪装,契约,光,范围笼罩,剥夺行动,以契约为源、光为媒介：伪装；范围笼罩 → 剥夺行动
AB0465,错位,异化,血,范围笼罩,限制变化,以异化为源、血为媒介：错位；范围笼罩 → 限制变化
AB0466,寄生,功法,雾,范围笼罩,剥夺行动,以功法为源、雾为媒介：寄生；范围笼罩 → 剥夺行动
AB0467,寄生,器物,血,媒介传导,制造错误感知,以器物为源、血为媒介：寄生；媒介传导 → 制造错误感知
AB0468,分解,功法,影,视线锁定,标记目标,以功法为源、影为媒介：分解；视线锁定 → 标记目标
AB0469,延迟,共鸣,雾,地面蔓延,复制信息,以共鸣为源、雾为媒介：延迟；地面蔓延 → 复制信息
AB0470,状态交换,功法,雾,地面蔓延,剥夺行动,以功法为源、雾为媒介：状态交换；地面蔓延 → 剥夺行动
AB0471,复制,共鸣,影,范围笼罩,造成位移,以共鸣为源、影为媒介：复制；范围笼罩 → 造成位移
AB0472,锚定,器物,血,视线锁定,复制信息,以器物为源、血为媒介：锚定；视线锁定 → 复制信息
AB0473,共生,异化,血,范围笼罩,吸收结构,以异化为源、血为媒介：共生；范围笼罩 → 吸收结构
AB0474,回溯,异化,影,范围笼罩,吸收结构,以异化为源、影为媒介：回溯；范围笼罩 → 吸收结构
AB0475,标记,功法,雾,媒介传导,复制信息,以功法为源、雾为媒介：标记；媒介传导 → 复制信息
AB0476,削弱,异化,影,媒介传导,造成位移,以异化为源、影为媒介：削弱；媒介传导 → 造成位移
