weapon_id,类型,机制,材质,形态,描述
WP0320,棍,结印增幅,金,藏于袖,金棍·藏于袖；机制：结印增幅
WP0321,镰,结印增幅,晶体,双持,晶体镰·双持；机制：结印增幅
WP0322,弓,断节重组,寒铁合金,可伸缩,寒铁合金弓·可伸缩；机制：断节重组
WP0323,伞,锁链牵引,黑铁,无柄悬浮,黑铁伞·无柄悬浮；机制：锁链牵引
WP0324,钟,断节重组,黑铁,短柄,黑铁钟·短柄；机制：断节重组
WP0325,鞭,共鸣震动,骨,藏于袖,骨鞭·藏于袖；机制：共鸣震动
WP0326,长刀,吸取记忆,骨,背负式,骨长刀·背负式；机制：吸取记忆
WP0327,笔,锁链牵引,黑铁,无柄悬浮,黑铁笔·无柄悬浮；机制：锁链牵引
WP0328,伞,共鸣震动,玉,缠于手臂,玉伞·缠于手臂；机制：共鸣震动
WP0329,幡,收纳空间,寒铁合金,短柄,寒铁合金幡·短柄；机制：收纳空间
WP0330,短刀,吸血反哺,青铜,缠于手臂,青铜短刀·缠于手臂；机制：吸血反哺
WP0331,弩,结印增幅,玄钢,背负式,玄钢弩·背负式；机制：结印增幅
WP0332,盾,锁链牵引,金,短柄,金盾·短柄；机制：锁链牵引
WP0333,笔,重量变化,青铜,短柄,青铜笔·短柄；机制：重量变化
WP0334,枪,以气御使,玄钢,双持,玄钢枪·双持；机制：以气御使
WP0335,鞭,折叠变形,银,藏于袖,银鞭·藏于袖；机制：折叠变形
WP0336,符,共鸣震动,银,藏于袖,银符·藏于袖；机制：共鸣震动
WP0337,锤,断节重组,玄钢,背负式,玄钢锤·背负式；机制：断节重组
WP0338,幡,吸取记忆,金,长柄,金幡·长柄；机制：吸取记忆
WP0339,软剑,断节重组,玉,无柄悬浮,玉软剑·无柄悬浮；机制：断节重组
WP0340,杖,以气御使,青铜,可伸缩,青铜杖·可伸缩；机制：以气御使
WP0341,弓,吸取记忆,木,缠于手臂,木弓·缠于手臂；机制：吸取记忆
WP0342,扇,共鸣震动,玉,缠于手臂,玉扇·缠于手臂；机制：共鸣震动
WP0343,短刀,铭文启动,金,短柄,金短刀·短柄；机制：铭文启动
WP0344,单手剑,重量变化,银,短柄,银单手剑·短柄；机制：重量变化
WP0345,琴,吸取记忆,骨,短柄,骨琴·短柄；机制：吸取记忆
WP0346,链,收纳空间,玉,无柄悬浮,玉链·无柄悬浮；机制：收纳空间
WP0347,幡,分体飞击,银,可伸缩,银幡·可伸缩；机制：分体飞击
WP0348,枪,吸血反哺,木,缠于手臂,木枪·缠于手臂；机制：吸血反哺
WP0349,印,吸血反哺,玄钢,长柄,玄钢印·长柄；机制：吸血反哺
WP0350,长刀,吸取记忆,银,双持,银长刀·双持；机制：吸取记忆
WP0351,枪,吸血反哺,木,无柄悬浮,木枪·无柄悬浮；机制：吸血反哺
WP0352,笛,以气御使,玄钢,长柄,玄钢笛·长柄；机制：以气御使
WP0353,弩,镜像复制,晶体,无柄悬浮,晶体弩·无柄悬浮；机制：镜像复制
WP0354,单手剑,收纳空间,骨,无柄悬浮,骨单手剑·无柄悬浮；机制：收纳空间
WP0355,笔,以气御使,银,无柄悬浮,银笔·无柄悬浮；机制：以气御使
WP0356,枪,以气御使,骨,背负式,骨枪·背负式；机制：以气御使
WP0357,长刀,分体飞击,晶体,双持,晶体长刀·双持；机制：分体飞击
WP0358,伞,断节重组,玄钢,短柄,玄钢伞·短柄；机制：断节重组
WP0359,双手巨剑,收纳空间,木,长柄,木双手巨剑·长柄；机制：收纳空间
WP0360,弓,折叠变形,青铜,长柄,青铜弓·长柄；机制：折叠变形
WP0361,幡,吸取记忆,玉,可伸缩,玉幡·可伸缩；机制：吸取记忆
WP0362,戟,以气御使,玉,长柄,玉戟·长柄；机制：以气御使
WP0363,盾,重量变化,玉,短柄,玉盾·短柄；机制：重量变化
WP0364,单手剑,吸取记忆,寒铁合金,双持,寒铁合金单手剑·双持；机制：吸取记忆
WP0365,弩,锁链牵引,银,双持,银弩·双持；机制：锁链牵引
WP0366,笛,收纳空间,晶体,藏于袖,晶体笛·藏于袖；机制：收纳空间
WP0367,幡,镜像复制,木,无柄悬浮,木幡·无柄悬浮；机制：镜像复制
WP0368,弓,断节重组,木,无柄悬浮,木弓·无柄悬浮；机制：断节重组
WP0369,拳套,铭文启动,玄钢,可伸缩,玄钢拳套·可伸缩；机制：铭文启动
WP0370,单手剑,断节重组,木,长柄,木单手剑·长柄；机制：断节重组
WP0371,符,分体飞击,青铜,无柄悬浮,青铜符·无柄悬浮；机制：分体飞击
WP0372,锤,重量变化,银,双持,银锤·双持；机制：重量变化
WP0373,琴,重量变化,晶体,短柄,晶体琴·短柄；机制：重量变化
WP0374,弩,共鸣震动,青铜,可伸缩,青铜弩·可伸缩；机制：共鸣震动
WP0375,单手剑,折叠变形,黑铁,长柄,黑铁单手剑·长柄；机制：折叠变形
WP0376,戟,收纳空间,玉,背负式,玉戟·背负式；机制：收纳空间
WP0377,镰,刀刃自愈,寒铁合金,可伸缩,寒铁合金镰·可伸缩；机制：刀刃自愈
WP0378,软剑,刀刃自愈,骨,双持,骨软剑·双持；机制：刀刃自愈
WP0379,弩,折叠变形,银,缠于手臂,银弩·缠于手臂；机制：折叠变形
WP0380,锤,刀刃自愈,黑铁,背负式,黑铁锤·背负式；机制：刀刃自愈
WP0381,笔,铭文启动,银,背负式,银笔·背负式；机制：铭文启动
WP0382,枪,重量变化,晶体,背负式,晶体枪·背负式；机制：重量变化
WP0383,印,吸血反哺,银,短柄,银印·短柄；机制：吸血反哺
WP0384,软剑,镜像复制,玄钢,缠于手臂,玄钢软剑·缠于手臂；机制：镜像复制
WP0385,弓,铭文启动,玉,背负式,玉弓·背负式；机制：铭文启动
WP0386,弩,吸取记忆,银,可伸缩,银弩·可伸缩；机制：吸取记忆
WP0387,双手巨剑,吸血反哺,寒铁合金,长柄,寒铁合金双手巨剑·长柄；机制：吸血反哺
WP0388,枪,收纳空间,木,无柄悬浮,木枪·无柄悬浮；机制：收纳空间
WP0389,伞,镜像复制,青铜,背负式,青铜伞·背负式；机制：镜像复制
WP0390,软剑,铭文启动,寒铁合金,双持,寒铁合金软剑·双持；机制：铭文启动
WP0391,符,断节重组,晶体,可伸缩,晶体符·可伸缩；机制：断节重组
WP0392,印,收纳空间,银,可伸缩,银印·可伸缩；机制：收纳空间
WP0393,符,铭文启动,晶体,长柄,晶体符·长柄；机制：铭文启动
WP0394,拳套,吸取记忆,玉,双持,玉拳套·双持；机制：吸取记忆
WP0395,弩,锁链牵引,寒铁合金,缠于手臂,寒铁合金弩·缠于手臂；机制：锁链牵引
WP0396,拳套,消耗寿命,金,无柄悬浮,金拳套·无柄悬浮；机制：消耗寿命
WP0397,符,消耗寿命,黑铁,长柄,黑铁符·长柄；机制：消耗寿命
WP0398,环,吸取记忆,玉,藏于袖,玉环·藏于袖；机制：吸取记忆
WP0399,幡,结印增幅,银,可伸缩,银幡·可伸缩；机制：结印增幅
WP0400,长刀,结印增幅,玄钢,双持,玄钢长刀·双持；机制：结印增幅
WP0401,鞭,刀刃自愈,金,可伸缩,金鞭·可伸缩；机制：刀刃自愈
WP0402,长刀,断节重组,金,短柄,金长刀·短柄；机制：断节重组
WP0403,鞭,刀刃自愈,金,藏于袖,金鞭·藏于袖；机制：刀刃自愈
WP0404,短刀,收纳空间,寒铁合金,短柄,寒铁合金短刀·短柄；机制：收纳空间
WP0405,棍,镜像复制,寒铁合金,双持,寒铁合金棍·双持；机制：镜像复制
WP0406,链,折叠变形,木,可伸缩,木链·可伸缩；机制：折叠变形
WP0407,软剑,刀刃自愈,玄钢,短柄,玄钢软剑·短柄；机制：刀刃自愈
WP0408,针,共鸣震动,晶体,无柄悬浮,晶体针·无柄悬浮；机制：共鸣震动
WP0409,枪,消耗寿命,玉,藏于袖,玉枪·藏于袖；机制：消耗寿命
WP0410,软剑,收纳空间,银,缠于手臂,银软剑·缠于手臂；机制：收纳空间
WP0411,拳套,结印增幅,玄钢,短柄,玄钢拳套·短柄；机制：结印增幅
WP0412,短刀,重量变化,骨,长柄,骨短刀·长柄；机制：重量变化
WP0413,鞭,重量变化,木,无柄悬浮,木鞭·无柄悬浮；机制：重量变化
WP0414,琴,消耗寿命,黑铁,背负式,黑铁琴·背负式；机制：消耗寿命
WP0415,单手剑,分体飞击,玄钢,短柄,玄钢单手剑·短柄；机制：分体飞击
WP0416,杖,折叠变形,骨,可伸缩,骨杖·可伸缩；机制：折叠变形
WP0417,链,消耗寿命,玉,可伸缩,玉链·可伸缩；机制：消耗寿命
WP0418,符,断节重组,玉,双持,玉符·双持；机制：断节重组
WP0419,杖,铭文启动,骨,可伸缩,骨杖·可伸缩；机制：铭文启动
WP0420,鞭,锁链牵引,金,可伸缩,金鞭·可伸缩；机制：锁链牵引
WP0421,拳套,结印增幅,骨,缠于手臂,骨拳套·缠于手臂；机制：结印增幅
WP0422,杖,共鸣震动,骨,无柄悬浮,骨杖·无柄悬浮；机制：共鸣震动
WP0423,环,吸取记忆,金,长柄,金环·长柄；机制：吸取记忆
WP0424,扇,以气御使,青铜,背负式,青铜扇·背负式；机制：以气御使
WP0425,锤,以气御使,玉,双持,玉锤·双持；机制：以气御使
WP0426,环,吸血反哺,金,可伸缩,金环·可伸缩；机制：吸血反哺
WP0427,杖,吸血反哺,黑铁,藏于袖,黑铁杖·藏于袖；机制：吸血反哺
WP0428,杖,刀刃自愈,玉,缠于手臂,玉杖·缠于手臂；机制：刀刃自愈
WP0429,镰,吸血反哺,金,可伸缩,金镰·可伸缩；机制：吸血反哺
WP0430,戟,以气御使,金,无柄悬浮,金戟·无柄悬浮；机制：以气御使
WP0431,长刀,分体飞击,银,短柄,银长刀·短柄；机制：分体飞击
WP0432,符,断节重组,青铜,背负式,青铜符·背负式；机制：断节重组
WP0433,扇,分体飞击,银,背负式,银扇·背负式；机制：分体飞击
WP0434,符,共鸣震动,寒铁合金,短柄,寒铁合金符·短柄；机制：共鸣震动
WP0435,镰,共鸣震动,黑铁,可伸缩,黑铁镰·可伸缩；机制：共鸣震动
WP0436,拳套,共鸣震动,木,双持,木拳套·双持；机制：共鸣震动
WP0437,印,消耗寿命,玄钢,背负式,玄钢印·背负式；机制：消耗寿命
WP0438,符,刀刃自愈,玉,短柄,玉符·短柄；机制：刀刃自愈
WP0439,弓,收纳空间,玉,可伸缩,玉弓·可伸缩；机制：收纳空间
WP0440,盾,吸取记忆,银,缠于手臂,银盾·缠于手臂；机制：吸取记忆
WP0441,鞭,重量变化,木,长柄,木鞭·长柄；机制：重量变化
WP0442,钩,铭文启动,银,长柄,银钩·长柄；机制：铭文启动
WP0443,符,以气御使,玉,背负式,玉符·背负式；机制：以气御使
WP0444,弩,收纳空间,银,背负式,银弩·背负式；机制：收纳空间
WP0445,杖,刀刃自愈,寒铁合金,短柄,寒铁合金杖·短柄；机制：刀刃自愈
WP0446,棍,结印增幅,木,短柄,木棍·短柄；机制：结印增幅
WP0447,环,折叠变形,寒铁合金,长柄,寒铁合金环·长柄；机制：折叠变形
WP0448,拳套,共鸣震动,骨,背负式,骨拳套·背负式；机制：共鸣震动
WP0449,钩,以气御使,骨,无柄悬浮,骨钩·无柄悬浮；机制：以气御使
WP0450,镰,铭文启动,寒铁合金,背负式,寒铁合金镰·背负式；机制：铭文启动
WP0451,链,吸血反哺,银,长柄,银链·长柄；机制：吸血反哺
WP0452,杖,以气御使,寒铁合金,无柄悬浮,寒铁合金杖·无柄悬浮；机制：以气御使
WP0453,戟,以气御使,青铜,缠于手臂,青铜戟·缠于手臂；机制：以气御使
WP0454,笔,铭文启动,寒铁合金,藏于袖,寒铁合金笔·藏于袖；机制：铭文启动
WP0455,针,重量变化,银,短柄,银针·短柄；机制：重量变化
WP0456,钟,结印增幅,黑铁,藏于袖,黑铁钟·藏于袖；机制：结印增幅
WP0457,琴,吸取记忆,青铜,背负式,青铜琴·背负式；机制：吸取记忆
WP0458,锤,吸取记忆,黑铁,藏于袖,黑铁锤·藏于袖；机制：吸取记忆
WP0459,钩,折叠变形,玄钢,短柄,玄钢钩·短柄；机制：折叠变形
WP0460,笛,吸血反哺,银,无柄悬浮,银笛·无柄悬浮；机制：吸血反哺
WP0461,弓,铭文启动,黑铁,藏于袖,黑铁弓·藏于袖；机制：铭文启动
WP0462,琴,铭文启动,玄钢,可伸缩,玄钢琴·可伸缩；机制：铭文启动
WP0463,针,重量变化,寒铁合金,双持,寒铁合金针·双持；机制：重量变化
WP0464,戟,重量变化,玉,无柄悬浮,玉戟·无柄悬浮；机制：重量变化
WP0465,印,断节重组,金,缠于手臂,金印·缠于手臂；机制：断节重组
WP0466,弩,共鸣震动,晶体,长柄,晶体弩·长柄；机制：共鸣震动
WP0467,戟,铭文启动,黑铁,背负式,黑铁戟·背负式；机制：铭文启动
WP0468,伞,刀刃自愈,寒铁合金,可伸缩,寒铁合金伞·可伸缩；机制：刀刃自愈
WP0469,爪,刀刃自愈,青铜,缠于手臂,青铜爪·缠于手臂；机制：刀刃自愈
WP0470,盾,消耗寿命,黑铁,长柄,黑铁盾·长柄；机制：消耗寿命
WP0471,长刀,断节重组,银,藏于袖,银长刀·藏于袖；机制：断节重组
WP0472,琴,锁链牵引,黑铁,缠于手臂,黑铁琴·缠于手臂；机制：锁链牵引
WP0473,钟,折叠变形,木,背负式,木钟·背负式；机制：折叠变形
WP0474,笔,吸血反哺,玉,短柄,玉笔·短柄；机制：吸血反哺
WP0475,印,镜像复制,玄钢,背负式,玄钢印·背负式；机制：镜像复制
WP0476,链,以气御使,金,背负式,金链·背负式；机制：以气御使
WP0477,环,刀刃自愈,玉,背负式,玉环·背负式；机制：刀刃自愈
WP0478,弩,断节重组,玉,无柄悬浮,玉弩·无柄悬浮；机制：断节重组
WP0479,笔,镜像复制,黑铁,双持,黑铁笔·双持；机制：镜像复制
WP0480,鞭,重量变化,晶体,双持,晶体鞭·双持；机制：重量变化
WP0481,戟,结印增幅,骨,背负式,骨戟·背负式；机制：结印增幅
WP0482,棍,重量变化,青铜,双持,青铜棍·双持；机制：重量变化
WP0483,幡,收纳空间,黑铁,双持,黑铁幡·双持；机制：收纳空间
WP0484,扇,吸取记忆,木,无柄悬浮,木扇·无柄悬浮；机制：吸取记忆
WP0485,锤,吸取记忆,玄钢,无柄悬浮,玄钢锤·无柄悬浮；机制：吸取记忆
WP0486,弓,折叠变形,青铜,可伸缩,青铜弓·可伸缩；机制：折叠变形
WP0487,钟,吸取记忆,金,藏于袖,金钟·藏于袖；机制：吸取记忆
WP0488,环,收纳空间,玉,藏于袖,玉环·藏于袖；机制：收纳空间
WP0489,钟,消耗寿命,玉,可伸缩,玉钟·可伸缩；机制：消耗寿命
WP0490,鞭,铭文启动,银,藏于袖,银鞭·藏于袖；机制：铭文启动
WP0491,锤,吸血反哺,银,无柄悬浮,银锤·无柄悬浮；机制：吸血反哺
WP0492,盾,重量变化,玄钢,无柄悬浮,玄钢盾·无柄悬浮；机制：重量变化
WP0493,鞭,镜像复制,骨,短柄,骨鞭·短柄；机制：镜像复制
WP0494,弩,吸取记忆,金,无柄悬浮,金弩·无柄悬浮；机制：吸取记忆
WP0495,棍,以气御使,金,双持,金棍·双持；机制：以气御使
WP0496,弩,消耗寿命,银,背负式,银弩·背负式；机制：消耗寿命
WP0497,枪,锁链牵引,银,无柄悬浮,银枪·无柄悬浮；机制：锁链牵引
WP0498,印,断节重组,青铜,可伸缩,青铜印·可伸缩；机制：断节重组
WP0499,钩,吸取记忆,晶体,双持,晶体钩·双持；机制：吸取记忆
WP0500,笛,结印增幅,金,短柄,金笛·短柄；机制：结印增幅
WP0501,棍,锁链牵引,玄钢,藏于袖,玄钢棍·藏于袖；机制：锁链牵引
WP0502,杖,重量变化,玄钢,双持,玄钢杖·双持；机制：重量变化
WP0503,笔,吸血反哺,寒铁合金,缠于手臂,寒铁合金笔·缠于手臂；机制：吸血反哺
WP0504,伞,消耗寿命,黑铁,背负式,黑铁伞·背负式；机制：消耗寿命
WP0505,拳套,锁链牵引,晶体,短柄,晶体拳套·短柄；机制：锁链牵引
WP0506,笔,吸血反哺,骨,可伸缩,骨笔·可伸缩；机制：吸血反哺
WP0507,印,折叠变形,青铜,可伸缩,青铜印·可伸缩；机制：折叠变形
WP0508,软剑,以气御使,晶体,背负式,晶体软剑·背负式；机制：以气御使
WP0509,链,铭文启动,青铜,长柄,青铜链·长柄；机制：铭文启动
WP0510,扇,铭文启动,黑铁,长柄,黑铁扇·长柄；机制：铭文启动
WP0511,弩,结印增幅,金,藏于袖,金弩·藏于袖；机制：结印增幅
WP0512,幡,以气御使,木,短柄,木幡·短柄；机制：以气御使
WP0513,爪,锁链牵引,青铜,长柄,青铜爪·长柄；机制：锁链牵引
WP0514,印,分体飞击,玉,长柄,玉印·长柄；机制：分体飞击
WP0515,短刀,断节重组,骨,长柄,骨短刀·长柄；机制：断节重组
WP0516,琴,重量变化,玄钢,缠于手臂,玄钢琴·缠于手臂；机制：重量变化
WP0517,锤,收纳空间,黑铁,双持,黑铁锤·双持；机制：收纳空间
WP0518,棍,消耗寿命,银,短柄,银棍·短柄；机制：消耗寿命
WP0519,长刀,铭文启动,寒铁合金,长柄,寒铁合金长刀·长柄；机制：铭文启动
WP0520,笔,收纳空间,晶体,可伸缩,晶体笔·可伸缩；机制：收纳空间
WP0521,爪,镜像复制,木,可伸缩,木爪·可伸缩；机制：镜像复制
WP0522,拳套,锁链牵引,寒铁合金,可伸缩,寒铁合金拳套·可伸缩；机制：锁链牵引
WP0523,符,镜像复制,寒铁合金,藏于袖,寒铁合金符·藏于袖；机制：镜像复制
WP0524,笔,断节重组,木,背负式,木笔·背负式；机制：断节重组
WP0525,软剑,分体飞击,黑铁,可伸缩,黑铁软剑·可伸缩；机制：分体飞击
WP0526,枪,消耗寿命,青铜,缠于手臂,青铜枪·缠于手臂；机制：消耗寿命
WP0527,钩,锁链牵引,玄钢,可伸缩,玄钢钩·可伸缩；机制：锁链牵引
WP0528,单手剑,折叠变形,青铜,短柄,青铜单手剑·短柄；机制：折叠变形
WP0529,棍,分体飞击,玉,缠于手臂,玉棍·缠于手臂；机制：分体飞击
WP0530,戟,吸取记忆,青铜,双持,青铜戟·双持；机制：吸取记忆
WP0531,弓,断节重组,寒铁合金,缠于手臂,寒铁合金弓·缠于手臂；机制：断节重组
WP0532,环,消耗寿命,金,藏于袖,金环·藏于袖；机制：消耗寿命
WP0533,锤,重量变化,木,背负式,木锤·背负式；机制：重量变化
WP0534,长刀,分体飞击,青铜,可伸缩,青铜长刀·可伸缩；机制：分体飞击
WP0535,长刀,消耗寿命,玄钢,藏于袖,玄钢长刀·藏于袖；机制：消耗寿命
WP0536,戟,锁链牵引,骨,短柄,骨戟·短柄；机制：锁链牵引
WP0537,链,折叠变形,玄钢,藏于袖,玄钢链·藏于袖；机制：折叠变形
WP0538,符,折叠变形,晶体,无柄悬浮,晶体符·无柄悬浮；机制：折叠变形
WP0539,链,折叠变形,骨,短柄,骨链·短柄；机制：折叠变形
WP0540,幡,铭文启动,银,双持,银幡·双持；机制：铭文启动
WP0541,弓,重量变化,骨,双持,骨弓·双持；机制：重量变化
WP0542,枪,铭文启动,木,短柄,木枪·短柄；机制：铭文启动
WP0543,软剑,铭文启动,木,短柄,木软剑·短柄；机制：铭文启动
WP0544,棍,吸血反哺,木,长柄,木棍·长柄；机制：吸血反哺
WP0545,印,镜像复制,青铜,短柄,青铜印·短柄；机制：镜像复制
WP0546,环,吸血反哺,晶体,短柄,晶体环·短柄；机制：吸血反哺
WP0547,符,折叠变形,金,缠于手臂,金符·缠于手臂；机制：折叠变形
WP0548,钟,镜像复制,寒铁合金,背负式,寒铁合金钟·背负式；机制：镜像复制
WP0549,笔,吸取记忆,青铜,藏于袖,青铜笔·藏于袖；机制：吸取记忆
WP0550,弓,以气御使,青铜,双持,青铜弓·双持；机制：以气御使
WP0551,杖,刀刃自愈,黑铁,双持,黑铁杖·双持；机制：刀刃自愈
WP0552,琴,消耗寿命,玉,双持,玉琴·双持；机制：消耗寿命
WP0553,笔,以气御使,晶体,可伸缩,晶体笔·可伸缩；机制：以气御使
WP0554,杖,以气御使,玉,双持,玉杖·双持；机制：以气御使
WP0555,镰,以气御使,玄钢,短柄,玄钢镰·短柄；机制：以气御使
WP0556,杖,锁链牵引,银,缠于手臂,银杖·缠于手臂；机制：锁链牵引
WP0557,爪,结印增幅,金,无柄悬浮,金爪·无柄悬浮；机制：结印增幅
WP0558,笛,吸血反哺,木,缠于手臂,木笛·缠于手臂；机制：吸血反哺
WP0559,双手巨剑,锁链牵引,木,缠于手臂,木双手巨剑·缠于手臂；机制：锁链牵引
WP0560,幡,锁链牵引,晶体,可伸缩,晶体幡·可伸缩；机制：锁链牵引
