face_id,主脸型,辅变化,额头,眉骨,眼窝,颧骨,面颊,下颌,眼型,眼尾,眼距,虹膜,鼻根,鼻梁,鼻头,唇型,嘴角,特殊标志,一句话脸
FD00184,上窄下宽脸,颌角强调,微凸额,柔和眉骨,浅眼窝,低颧骨,薄面颊,方下颌,鹤系眼,眼尾明显挑,宽眼距,淡金瞳,高鼻根,柔和鼻梁,方圆鼻头,小嘴,嘴角下垂,耳后小痣,上窄下宽脸（颌角强调），柔和眉骨/浅眼窝，鹤系眼·眼尾明显挑·宽眼距，高鼻根/柔和鼻梁/方圆鼻头，小嘴·嘴角下垂，方下颌
FD00185,柔和菱形,颈部线条收短,饱满额,内侧突出眉骨,深眼窝,窄颧骨,幼态柔软面颊,明显下颌角,少年圆眼,眼尾下沉,宽眼距,环状虹膜,中高鼻根,柔和鼻梁,微钝鼻头,薄唇,嘴角上扬,瞳孔残缺,柔和菱形（颈部线条收短），内侧突出眉骨/深眼窝，少年圆眼·眼尾下沉·宽眼距，中高鼻根/柔和鼻梁/微钝鼻头，薄唇·嘴角上扬，明显下颌角
FD00186,骨感菱形,中轴微长,低额,内侧突出眉骨,中度眼窝,高颧骨,幼态柔软面颊,明显下颌角,平凤眼,眼尾下压,窄眼距,琥珀瞳,中高鼻根,中直鼻梁,骨感鼻头,小嘴,嘴角平直,颈侧细疤,骨感菱形（中轴微长），内侧突出眉骨/中度眼窝，平凤眼·眼尾下压·窄眼距，中高鼻根/中直鼻梁/骨感鼻头，小嘴·嘴角平直，明显下颌角
FD00187,长圆脸,中轴微长,饱满额,压迫感眉骨,深眼窝,宽颧骨,幼态柔软面颊,明显下颌角,疲惫眼,眼尾平直,窄眼距,环状虹膜,高鼻根,微弧鼻梁,方圆鼻头,宽嘴,嘴角下垂,指节薄茧,长圆脸（中轴微长），压迫感眉骨/深眼窝，疲惫眼·眼尾平直·窄眼距，高鼻根/微弧鼻梁/方圆鼻头，宽嘴·嘴角下垂，明显下颌角
FD00188,宽菱形,骨点内敛,骨感额,柔和眉骨,宽浅眼窝,柔和颧骨,饱满面颊,收敛下颌,狭长瑞凤眼,眼尾平直,窄眼距,环状虹膜,高鼻根,宽骨鼻梁,肉感鼻头,上薄下厚,嘴角上扬,单侧酒窝,宽菱形（骨点内敛），柔和眉骨/宽浅眼窝，狭长瑞凤眼·眼尾平直·窄眼距，高鼻根/宽骨鼻梁/肉感鼻头，上薄下厚·嘴角上扬，收敛下颌
FD00189,方菱过渡脸,颌角强调,骨感额,薄眉骨,浅眼窝,低颧骨,薄面颊,窄下颌,猫系眼,眼尾明显挑,标准眼距,墨玉瞳,中鼻根,柔和鼻梁,肉感鼻头,薄唇,嘴角下垂,单侧酒窝,方菱过渡脸（颌角强调），薄眉骨/浅眼窝，猫系眼·眼尾明显挑·标准眼距，中鼻根/柔和鼻梁/肉感鼻头，薄唇·嘴角下垂，窄下颌
FD00190,宽菱形,中轴微长,窄额,内侧突出眉骨,窄深眼窝,低颧骨,成熟收紧面颊,窄下颌,狐狸系眼,眼尾平直,窄眼距,星点虹膜,低鼻根,中直鼻梁,轻翘鼻头,上薄下厚,嘴角紧收,单侧虎牙,宽菱形（中轴微长），内侧突出眉骨/窄深眼窝，狐狸系眼·眼尾平直·窄眼距，低鼻根/中直鼻梁/轻翘鼻头，上薄下厚·嘴角紧收，窄下颌
FD00191,心形脸,下颌线清晰化,低额,压迫感眉骨,浅眼窝,柔和颧骨,成熟收紧面颊,宽下颌,长杏眼,眼尾下沉,标准眼距,星点虹膜,窄鼻根,高直鼻梁,窄翼鼻头,成熟长唇,嘴角紧收,唇下小痣,心形脸（下颌线清晰化），压迫感眉骨/浅眼窝，长杏眼·眼尾下沉·标准眼距，窄鼻根/高直鼻梁/窄翼鼻头，成熟长唇·嘴角紧收，宽下颌
FD00192,骨感窄脸,下庭加重,窄额,柔和眉骨,深眼窝,窄颧骨,饱满面颊,明显下颌角,平凤眼,眼尾下压,窄眼距,异色瞳,低鼻根,中直鼻梁,骨感鼻头,上薄下厚,嘴角上扬,右眉轻断,骨感窄脸（下庭加重），柔和眉骨/深眼窝，平凤眼·眼尾下压·窄眼距，低鼻根/中直鼻梁/骨感鼻头，上薄下厚·嘴角上扬，明显下颌角
FD00193,正梯形脸,面中立体化,饱满额,压迫感眉骨,宽浅眼窝,低颧骨,轻凹面颊,柔和下颌,蛇系眼,眼尾延展,标准眼距,深色瞳,中鼻根,宽骨鼻梁,微钝鼻头,成熟长唇,单侧上扬,无标志,正梯形脸（面中立体化），压迫感眉骨/宽浅眼窝，蛇系眼·眼尾延展·标准眼距，中鼻根/宽骨鼻梁/微钝鼻头，成熟长唇·单侧上扬，柔和下颌
FD00194,下颌突出脸,颧部外扩,宽额,薄眉骨,深眼窝,宽颧骨,饱满面颊,圆方下颌,短圆杏眼,眼尾微挑,宽眼距,灰蓝瞳,宽鼻根,宽骨鼻梁,小圆鼻头,平直唇,嘴角紧收,左颊浅疤,下颌突出脸（颧部外扩），薄眉骨/深眼窝，短圆杏眼·眼尾微挑·宽眼距，宽鼻根/宽骨鼻梁/小圆鼻头，平直唇·嘴角紧收，圆方下颌
FD00195,骨感菱形,颧部微收,宽额,内侧突出眉骨,浅眼窝,窄颧骨,轻凹面颊,骨感下颌,少年圆眼,眼尾延展,标准眼距,异色瞳,高鼻根,中直鼻梁,肉感鼻头,薄唇,嘴角平直,瞳孔残缺,骨感菱形（颧部微收），内侧突出眉骨/浅眼窝，少年圆眼·眼尾延展·标准眼距，高鼻根/中直鼻梁/肉感鼻头，薄唇·嘴角平直，骨感下颌
FD00196,上窄下宽脸,颧部微收,饱满额,高眉骨,中度眼窝,高颧骨,薄面颊,明显下颌角,猫系眼,眼尾明显挑,标准眼距,浅褐瞳,宽鼻根,中直鼻梁,方圆鼻头,小嘴,嘴角上扬,左眼下浅泪痣,上窄下宽脸（颧部微收），高眉骨/中度眼窝，猫系眼·眼尾明显挑·标准眼距，宽鼻根/中直鼻梁/方圆鼻头，小嘴·嘴角上扬，明显下颌角
FD00197,成熟方脸,下颌线柔化,骨感额,厚眉骨,中度眼窝,柔和颧骨,饱满面颊,宽下颌,柳叶眼,眼尾下压,窄眼距,墨玉瞳,窄鼻根,中直鼻梁,骨感鼻头,平直唇,嘴角紧收,鼻梁旧伤,成熟方脸（下颌线柔化），厚眉骨/中度眼窝，柳叶眼·眼尾下压·窄眼距，窄鼻根/中直鼻梁/骨感鼻头，平直唇·嘴角紧收，宽下颌
FD00198,上宽下窄脸,颌角弱化,饱满额,厚眉骨,中度眼窝,高颧骨,薄面颊,柔和下颌,圆长眼,眼尾下沉,标准眼距,碎裂虹膜,宽鼻根,轻微偏右鼻梁,小圆鼻头,上薄下厚,嘴角下垂,唇下小痣,上宽下窄脸（颌角弱化），厚眉骨/中度眼窝，圆长眼·眼尾下沉·标准眼距，宽鼻根/轻微偏右鼻梁/小圆鼻头，上薄下厚·嘴角下垂，柔和下颌
FD00199,长心形脸,下颌线清晰化,宽额,柔和眉骨,宽浅眼窝,窄颧骨,轻凹面颊,窄下颌,下垂眼,眼尾平直,窄眼距,墨玉瞳,中高鼻根,高直鼻梁,骨感鼻头,厚唇,嘴角上扬,瞳孔残缺,长心形脸（下颌线清晰化），柔和眉骨/宽浅眼窝，下垂眼·眼尾平直·窄眼距，中高鼻根/高直鼻梁/骨感鼻头，厚唇·嘴角上扬，窄下颌
FD00200,上宽下窄脸,下颌线清晰化,低额,外侧突出眉骨,中度眼窝,低颧骨,饱满面颊,窄下颌,上扬凤眼,眼尾下压,标准眼距,墨玉瞳,中鼻根,轻鹰钩鼻梁,窄翼鼻头,成熟长唇,单侧上扬,眉尾旧疤,上宽下窄脸（下颌线清晰化），外侧突出眉骨/中度眼窝，上扬凤眼·眼尾下压·标准眼距，中鼻根/轻鹰钩鼻梁/窄翼鼻头，成熟长唇·单侧上扬，窄下颌
FD00201,长菱形,上庭展开,低额,外侧突出眉骨,深眼窝,窄颧骨,薄面颊,收敛下颌,上扬凤眼,眼尾下沉,窄眼距,浅褐瞳,低鼻根,宽骨鼻梁,窄翼鼻头,上薄下厚,嘴角上扬,瞳孔残缺,长菱形（上庭展开），外侧突出眉骨/深眼窝，上扬凤眼·眼尾下沉·窄眼距，低鼻根/宽骨鼻梁/窄翼鼻头，上薄下厚·嘴角上扬，收敛下颌
FD00202,标准菱形,偏锐收窄,低额,高眉骨,眼下骨感,低颧骨,成熟收紧面颊,方下颌,圆长眼,眼尾下压,标准眼距,琥珀瞳,中鼻根,中直鼻梁,微钝鼻头,宽嘴,嘴角平直,下颌浅疤,标准菱形（偏锐收窄），高眉骨/眼下骨感，圆长眼·眼尾下压·标准眼距，中鼻根/中直鼻梁/微钝鼻头，宽嘴·嘴角平直，方下颌
FD00203,心形脸,下颌线柔化,低额,厚眉骨,中度眼窝,窄颧骨,薄面颊,窄下颌,鹤系眼,眼尾下沉,标准眼距,淡金瞳,中鼻根,柔和鼻梁,窄翼鼻头,平直唇,嘴角下垂,指节薄茧,心形脸（下颌线柔化），厚眉骨/中度眼窝，鹤系眼·眼尾下沉·标准眼距，中鼻根/柔和鼻梁/窄翼鼻头，平直唇·嘴角下垂，窄下颌
FD00204,清瘦圆脸,颌角弱化,高额,内侧突出眉骨,宽浅眼窝,柔和颧骨,饱满面颊,窄下颌,窄杏眼,眼尾明显挑,标准眼距,环状虹膜,高鼻根,微弧鼻梁,方圆鼻头,上薄下厚,嘴角上扬,眼角小痣,清瘦圆脸（颌角弱化），内侧突出眉骨/宽浅眼窝，窄杏眼·眼尾明显挑·标准眼距，高鼻根/微弧鼻梁/方圆鼻头，上薄下厚·嘴角上扬，窄下颌
FD00205,倒梯形脸,颧部微收,宽额,厚眉骨,眼下饱满,柔和颧骨,饱满面颊,宽下颌,丹凤眼,眼尾延展,宽眼距,碎裂虹膜,低鼻根,轻鹰钩鼻梁,骨感鼻头,弓形唇,单侧上扬,指节薄茧,倒梯形脸（颧部微收），厚眉骨/眼下饱满，丹凤眼·眼尾延展·宽眼距，低鼻根/轻鹰钩鼻梁/骨感鼻头，弓形唇·单侧上扬，宽下颌
FD00206,上窄下宽脸,颈部线条收短,窄额,压迫感眉骨,深眼窝,窄颧骨,轻凹面颊,宽下颌,平直杏眼,眼尾平直,标准眼距,淡金瞳,窄鼻根,微弧鼻梁,窄翼鼻头,弓形唇,嘴角平直,异色瞳,上窄下宽脸（颈部线条收短），压迫感眉骨/深眼窝，平直杏眼·眼尾平直·标准眼距，窄鼻根/微弧鼻梁/窄翼鼻头，弓形唇·嘴角平直，宽下颌
FD00207,清瘦圆脸,中庭拉长,骨感额,高眉骨,宽浅眼窝,宽颧骨,轻凹面颊,方下颌,窄杏眼,眼尾下沉,标准眼距,琥珀瞳,中鼻根,宽骨鼻梁,轻翘鼻头,平直唇,嘴角平直,无标志,清瘦圆脸（中庭拉长），高眉骨/宽浅眼窝，窄杏眼·眼尾下沉·标准眼距，中鼻根/宽骨鼻梁/轻翘鼻头，平直唇·嘴角平直，方下颌
FD00208,柔和方脸,中轴收紧,宽额,高眉骨,眼下骨感,高颧骨,轻凹面颊,方下颌,下垂眼,眼尾微挑,窄眼距,深色瞳,低鼻根,宽骨鼻梁,肉感鼻头,宽嘴,嘴角紧收,环状虹膜,柔和方脸（中轴收紧），高眉骨/眼下骨感，下垂眼·眼尾微挑·窄眼距，低鼻根/宽骨鼻梁/肉感鼻头，宽嘴·嘴角紧收，方下颌
FD00209,骨感菱形,下庭收窄,平直额,内侧突出眉骨,眼下骨感,窄颧骨,成熟收紧面颊,骨感下颌,上扬凤眼,眼尾延展,标准眼距,墨玉瞳,窄鼻根,中直鼻梁,下压鼻头,上厚下薄,嘴角下垂,双侧酒窝,骨感菱形（下庭收窄），内侧突出眉骨/眼下骨感，上扬凤眼·眼尾延展·标准眼距，窄鼻根/中直鼻梁/下压鼻头，上厚下薄·嘴角下垂，骨感下颌
FD00210,宽菱形,颧部外扩,窄额,外侧突出眉骨,中度眼窝,窄颧骨,薄面颊,明显下颌角,短圆杏眼,眼尾下压,宽眼距,墨玉瞳,窄鼻根,高直鼻梁,肉感鼻头,上薄下厚,嘴角平直,环状虹膜,宽菱形（颧部外扩），外侧突出眉骨/中度眼窝，短圆杏眼·眼尾下压·宽眼距，窄鼻根/高直鼻梁/肉感鼻头，上薄下厚·嘴角平直，明显下颌角
FD00211,幼态圆脸,颊部饱满,窄额,薄眉骨,眼下饱满,低颧骨,薄面颊,方下颌,短杏眼,眼尾下沉,宽眼距,异色瞳,窄鼻根,轻鹰钩鼻梁,方圆鼻头,小嘴,单侧上扬,指节薄茧,幼态圆脸（颊部饱满），薄眉骨/眼下饱满，短杏眼·眼尾下沉·宽眼距，窄鼻根/轻鹰钩鼻梁/方圆鼻头，小嘴·单侧上扬，方下颌
FD00212,长菱形,颈部线条收短,微凸额,厚眉骨,浅眼窝,外扩颧骨,轻凹面颊,骨感下颌,柳叶眼,眼尾平直,窄眼距,星点虹膜,窄鼻根,轻微偏左鼻梁,微钝鼻头,平直唇,嘴角紧收,单侧虎牙,长菱形（颈部线条收短），厚眉骨/浅眼窝，柳叶眼·眼尾平直·窄眼距，窄鼻根/轻微偏左鼻梁/微钝鼻头，平直唇·嘴角紧收，骨感下颌
FD00213,长圆脸,中庭展宽,窄额,压迫感眉骨,中度眼窝,宽颧骨,薄面颊,明显下颌角,成熟长眼,眼尾明显挑,宽眼距,碎裂虹膜,中高鼻根,中直鼻梁,下压鼻头,厚唇,单侧上扬,眼角小痣,长圆脸（中庭展宽），压迫感眉骨/中度眼窝，成熟长眼·眼尾明显挑·宽眼距，中高鼻根/中直鼻梁/下压鼻头，厚唇·单侧上扬，明显下颌角
FD00214,成熟方脸,上庭收窄,高额,高眉骨,宽浅眼窝,窄颧骨,薄面颊,收敛下颌,鹰隼眼,眼尾微挑,窄眼距,淡金瞳,中高鼻根,轻微偏左鼻梁,肉感鼻头,上厚下薄,嘴角平直,无标志,成熟方脸（上庭收窄），高眉骨/宽浅眼窝，鹰隼眼·眼尾微挑·窄眼距，中高鼻根/轻微偏左鼻梁/肉感鼻头，上厚下薄·嘴角平直，收敛下颌
FD00215,窄方脸,面中立体化,宽额,内侧突出眉骨,窄深眼窝,低颧骨,薄面颊,收敛下颌,上扬凤眼,眼尾下沉,窄眼距,异色瞳,宽鼻根,柔和鼻梁,下压鼻头,宽嘴,嘴角下垂,眉上小疤,窄方脸（面中立体化），内侧突出眉骨/窄深眼窝，上扬凤眼·眼尾下沉·窄眼距，宽鼻根/柔和鼻梁/下压鼻头，宽嘴·嘴角下垂，收敛下颌
FD00216,倒梯形脸,面中平缓,窄额,内侧突出眉骨,窄深眼窝,高颧骨,轻凹面颊,收敛下颌,圆长眼,眼尾下压,宽眼距,碎裂虹膜,窄鼻根,轻微偏右鼻梁,微钝鼻头,平直唇,嘴角上扬,眼角小痣,倒梯形脸（面中平缓），内侧突出眉骨/窄深眼窝，圆长眼·眼尾下压·宽眼距，窄鼻根/轻微偏右鼻梁/微钝鼻头，平直唇·嘴角上扬，收敛下颌
FD00217,骨感方脸,中庭拉长,骨感额,压迫感眉骨,宽浅眼窝,柔和颧骨,饱满面颊,窄下颌,短杏眼,眼尾微挑,宽眼距,星点虹膜,宽鼻根,轻鹰钩鼻梁,方圆鼻头,宽嘴,嘴角紧收,左颊浅疤,骨感方脸（中庭拉长），压迫感眉骨/宽浅眼窝，短杏眼·眼尾微挑·宽眼距，宽鼻根/轻鹰钩鼻梁/方圆鼻头，宽嘴·嘴角紧收，窄下颌
FD00218,圆方脸,骨点内敛,微凸额,压迫感眉骨,眼下饱满,宽颧骨,饱满面颊,圆方下颌,半睁懒眼,眼尾微挑,窄眼距,异色瞳,宽鼻根,微弧鼻梁,肉感鼻头,上薄下厚,嘴角上扬,眉上小疤,圆方脸（骨点内敛），压迫感眉骨/眼下饱满，半睁懒眼·眼尾微挑·窄眼距，宽鼻根/微弧鼻梁/肉感鼻头，上薄下厚·嘴角上扬，圆方下颌
FD00219,长心形脸,中轴收紧,饱满额,薄眉骨,中度眼窝,低颧骨,轻凹面颊,柔和下颌,瑞凤眼,眼尾明显挑,宽眼距,碎裂虹膜,低鼻根,轻鹰钩鼻梁,小圆鼻头,薄唇,嘴角上扬,下颌浅疤,长心形脸（中轴收紧），薄眉骨/中度眼窝，瑞凤眼·眼尾明显挑·宽眼距，低鼻根/轻鹰钩鼻梁/小圆鼻头，薄唇·嘴角上扬，柔和下颌
FD00220,颧部展开脸,中庭展宽,宽额,压迫感眉骨,窄深眼窝,柔和颧骨,饱满面颊,方下颌,半睁懒眼,眼尾平直,标准眼距,琥珀瞳,中高鼻根,宽骨鼻梁,小圆鼻头,成熟长唇,嘴角紧收,单侧酒窝,颧部展开脸（中庭展宽），压迫感眉骨/窄深眼窝，半睁懒眼·眼尾平直·标准眼距，中高鼻根/宽骨鼻梁/小圆鼻头，成熟长唇·嘴角紧收，方下颌
FD00221,清瘦圆脸,下庭加重,微凸额,薄眉骨,眼下骨感,宽颧骨,薄面颊,宽下颌,狐狸系眼,眼尾下压,窄眼距,墨玉瞳,中鼻根,中直鼻梁,小圆鼻头,宽嘴,嘴角上扬,额角旧痕,清瘦圆脸（下庭加重），薄眉骨/眼下骨感，狐狸系眼·眼尾下压·窄眼距，中鼻根/中直鼻梁/小圆鼻头，宽嘴·嘴角上扬，宽下颌
FD00222,正梯形脸,颌角强调,微凸额,薄眉骨,眼下饱满,柔和颧骨,饱满面颊,柔和下颌,猫系眼,眼尾明显挑,宽眼距,浅褐瞳,低鼻根,宽骨鼻梁,小圆鼻头,成熟长唇,嘴角平直,眼睑褶皱不对称,正梯形脸（颌角强调），薄眉骨/眼下饱满，猫系眼·眼尾明显挑·宽眼距，低鼻根/宽骨鼻梁/小圆鼻头，成熟长唇·嘴角平直，柔和下颌
FD00223,清瘦圆脸,颊部略凹,骨感额,高眉骨,浅眼窝,窄颧骨,轻凹面颊,窄下颌,猫系眼,眼尾微挑,宽眼距,星点虹膜,低鼻根,轻微偏右鼻梁,肉感鼻头,平直唇,单侧上扬,右眼下浅泪痣,清瘦圆脸（颊部略凹），高眉骨/浅眼窝，猫系眼·眼尾微挑·宽眼距，低鼻根/轻微偏右鼻梁/肉感鼻头，平直唇·单侧上扬，窄下颌
FD00224,梨形脸,骨点内敛,微凸额,高眉骨,眼下饱满,柔和颧骨,饱满面颊,方下颌,鹤系眼,眼尾平直,标准眼距,墨玉瞳,低鼻根,轻微偏左鼻梁,方圆鼻头,平直唇,单侧上扬,无标志,梨形脸（骨点内敛），高眉骨/眼下饱满，鹤系眼·眼尾平直·标准眼距，低鼻根/轻微偏左鼻梁/方圆鼻头，平直唇·单侧上扬，方下颌
FD00225,长菱形,偏柔圆润,饱满额,外侧突出眉骨,深眼窝,宽颧骨,成熟收紧面颊,收敛下颌,鹰隼眼,眼尾平直,宽眼距,深色瞳,窄鼻根,高直鼻梁,肉感鼻头,成熟长唇,嘴角平直,眼睑褶皱不对称,长菱形（偏柔圆润），外侧突出眉骨/深眼窝，鹰隼眼·眼尾平直·宽眼距，窄鼻根/高直鼻梁/肉感鼻头，成熟长唇·嘴角平直，收敛下颌
FD00226,骨感方脸,面中平缓,宽额,厚眉骨,浅眼窝,宽颧骨,轻凹面颊,圆方下颌,圆长眼,眼尾下沉,宽眼距,浅褐瞳,窄鼻根,中直鼻梁,下压鼻头,厚唇,单侧上扬,颈侧细疤,骨感方脸（面中平缓），厚眉骨/浅眼窝，圆长眼·眼尾下沉·宽眼距，窄鼻根/中直鼻梁/下压鼻头，厚唇·单侧上扬，圆方下颌
FD00227,心形脸,颧部外扩,饱满额,柔和眉骨,眼下饱满,柔和颧骨,幼态柔软面颊,窄下颌,鹿系眼,眼尾明显挑,窄眼距,琥珀瞳,中鼻根,轻微偏右鼻梁,下压鼻头,小嘴,嘴角上扬,右眉轻断,心形脸（颧部外扩），柔和眉骨/眼下饱满，鹿系眼·眼尾明显挑·窄眼距，中鼻根/轻微偏右鼻梁/下压鼻头，小嘴·嘴角上扬，窄下颌
FD00228,清瘦圆脸,上庭展开,骨感额,厚眉骨,中度眼窝,柔和颧骨,幼态柔软面颊,收敛下颌,狭长眼,眼尾下压,窄眼距,墨玉瞳,中鼻根,宽骨鼻梁,窄翼鼻头,宽嘴,嘴角平直,唇下小痣,清瘦圆脸（上庭展开），厚眉骨/中度眼窝，狭长眼·眼尾下压·窄眼距，中鼻根/宽骨鼻梁/窄翼鼻头，宽嘴·嘴角平直，收敛下颌
FD00229,宽方脸,面中立体化,低额,薄眉骨,中度眼窝,宽颧骨,幼态柔软面颊,柔和下颌,平凤眼,眼尾延展,标准眼距,星点虹膜,中高鼻根,宽骨鼻梁,肉感鼻头,上厚下薄,嘴角上扬,眼睑褶皱不对称,宽方脸（面中立体化），薄眉骨/中度眼窝，平凤眼·眼尾延展·标准眼距，中高鼻根/宽骨鼻梁/肉感鼻头，上厚下薄·嘴角上扬，柔和下颌
FD00230,圆脸,颈部线条收短,低额,柔和眉骨,中度眼窝,高颧骨,成熟收紧面颊,宽下颌,鹤系眼,眼尾微挑,窄眼距,深色瞳,中鼻根,微弧鼻梁,下压鼻头,厚唇,嘴角下垂,眼睑褶皱不对称,圆脸（颈部线条收短），柔和眉骨/中度眼窝，鹤系眼·眼尾微挑·窄眼距，中鼻根/微弧鼻梁/下压鼻头，厚唇·嘴角下垂，宽下颌
FD00231,短圆脸,骨点外显,宽额,外侧突出眉骨,窄深眼窝,柔和颧骨,饱满面颊,骨感下颌,鹰隼眼,眼尾延展,窄眼距,碎裂虹膜,高鼻根,高直鼻梁,方圆鼻头,小嘴,单侧上扬,单侧虎牙,短圆脸（骨点外显），外侧突出眉骨/窄深眼窝，鹰隼眼·眼尾延展·窄眼距，高鼻根/高直鼻梁/方圆鼻头，小嘴·单侧上扬，骨感下颌
FD00232,骨感菱形,颌角弱化,微凸额,外侧突出眉骨,宽浅眼窝,外扩颧骨,饱满面颊,方下颌,短圆杏眼,眼尾平直,宽眼距,环状虹膜,低鼻根,轻微偏右鼻梁,方圆鼻头,成熟长唇,单侧上扬,指节薄茧,骨感菱形（颌角弱化），外侧突出眉骨/宽浅眼窝，短圆杏眼·眼尾平直·宽眼距，低鼻根/轻微偏右鼻梁/方圆鼻头，成熟长唇·单侧上扬，方下颌
FD00233,心形脸,下颌线柔化,低额,外侧突出眉骨,窄深眼窝,窄颧骨,轻凹面颊,窄下颌,柳叶眼,眼尾下沉,宽眼距,星点虹膜,高鼻根,轻微偏右鼻梁,肉感鼻头,上厚下薄,嘴角上扬,眉尾旧疤,心形脸（下颌线柔化），外侧突出眉骨/窄深眼窝，柳叶眼·眼尾下沉·宽眼距，高鼻根/轻微偏右鼻梁/肉感鼻头，上厚下薄·嘴角上扬，窄下颌
FD00234,宽心形脸,骨点外显,微凸额,低眉骨,浅眼窝,外扩颧骨,成熟收紧面颊,柔和下颌,丹凤眼,眼尾下压,宽眼距,环状虹膜,窄鼻根,柔和鼻梁,肉感鼻头,上厚下薄,嘴角上扬,唇下小痣,宽心形脸（骨点外显），低眉骨/浅眼窝，丹凤眼·眼尾下压·宽眼距，窄鼻根/柔和鼻梁/肉感鼻头，上厚下薄·嘴角上扬，柔和下颌
FD00235,长菱形,面中立体化,饱满额,高眉骨,眼下骨感,窄颧骨,轻凹面颊,骨感下颌,圆长眼,眼尾延展,宽眼距,墨玉瞳,窄鼻根,微弧鼻梁,下压鼻头,薄唇,嘴角下垂,眉尾旧疤,长菱形（面中立体化），高眉骨/眼下骨感，圆长眼·眼尾延展·宽眼距，窄鼻根/微弧鼻梁/下压鼻头，薄唇·嘴角下垂，骨感下颌
FD00236,圆方脸,上庭收窄,窄额,外侧突出眉骨,深眼窝,窄颧骨,轻凹面颊,柔和下颌,疲惫眼,眼尾明显挑,窄眼距,墨玉瞳,中鼻根,微弧鼻梁,肉感鼻头,宽嘴,单侧上扬,无标志,圆方脸（上庭收窄），外侧突出眉骨/深眼窝，疲惫眼·眼尾明显挑·窄眼距，中鼻根/微弧鼻梁/肉感鼻头，宽嘴·单侧上扬，柔和下颌
FD00237,下颌突出脸,颊部略凹,窄额,厚眉骨,眼下饱满,宽颧骨,饱满面颊,窄下颌,成熟长眼,眼尾微挑,标准眼距,灰蓝瞳,中高鼻根,轻微偏左鼻梁,轻翘鼻头,成熟长唇,单侧上扬,左颊浅疤,下颌突出脸（颊部略凹），厚眉骨/眼下饱满，成熟长眼·眼尾微挑·标准眼距，中高鼻根/轻微偏左鼻梁/轻翘鼻头，成熟长唇·单侧上扬，窄下颌
FD00238,标准菱形,下庭加重,平直额,厚眉骨,深眼窝,窄颧骨,轻凹面颊,明显下颌角,瑞凤眼,眼尾平直,窄眼距,浅褐瞳,中高鼻根,轻微偏右鼻梁,轻翘鼻头,弓形唇,单侧上扬,无标志,标准菱形（下庭加重），厚眉骨/深眼窝，瑞凤眼·眼尾平直·窄眼距，中高鼻根/轻微偏右鼻梁/轻翘鼻头，弓形唇·单侧上扬，明显下颌角
FD00239,上窄下宽脸,下庭收窄,饱满额,内侧突出眉骨,深眼窝,低颧骨,饱满面颊,收敛下颌,少年圆眼,眼尾平直,标准眼距,浅褐瞳,宽鼻根,轻微偏左鼻梁,微钝鼻头,厚唇,嘴角上扬,左颊浅疤,上窄下宽脸（下庭收窄），内侧突出眉骨/深眼窝，少年圆眼·眼尾平直·标准眼距，宽鼻根/轻微偏左鼻梁/微钝鼻头，厚唇·嘴角上扬，收敛下颌
FD00240,倒梯形脸,偏柔圆润,低额,外侧突出眉骨,深眼窝,低颧骨,饱满面颊,窄下颌,上扬凤眼,眼尾下压,窄眼距,浅褐瞳,宽鼻根,高直鼻梁,方圆鼻头,上薄下厚,嘴角上扬,瞳孔残缺,倒梯形脸（偏柔圆润），外侧突出眉骨/深眼窝，上扬凤眼·眼尾下压·窄眼距，宽鼻根/高直鼻梁/方圆鼻头，上薄下厚·嘴角上扬，窄下颌
FD00241,短方脸,颧部外扩,宽额,厚眉骨,宽浅眼窝,柔和颧骨,饱满面颊,骨感下颌,狭长眼,眼尾延展,宽眼距,墨玉瞳,高鼻根,柔和鼻梁,方圆鼻头,薄唇,单侧上扬,左眼下浅泪痣,短方脸（颧部外扩），厚眉骨/宽浅眼窝，狭长眼·眼尾延展·宽眼距，高鼻根/柔和鼻梁/方圆鼻头，薄唇·单侧上扬，骨感下颌
FD00242,方菱过渡脸,中庭拉长,窄额,压迫感眉骨,中度眼窝,窄颧骨,饱满面颊,收敛下颌,长杏眼,眼尾明显挑,标准眼距,灰蓝瞳,窄鼻根,轻微偏右鼻梁,轻翘鼻头,成熟长唇,嘴角上扬,眉心竖纹浅痕,方菱过渡脸（中庭拉长），压迫感眉骨/中度眼窝，长杏眼·眼尾明显挑·标准眼距，窄鼻根/轻微偏右鼻梁/轻翘鼻头，成熟长唇·嘴角上扬，收敛下颌
FD00243,柔和菱形,颌角弱化,高额,内侧突出眉骨,窄深眼窝,柔和颧骨,饱满面颊,收敛下颌,长杏眼,眼尾平直,宽眼距,琥珀瞳,窄鼻根,轻鹰钩鼻梁,方圆鼻头,上厚下薄,嘴角下垂,唇下小痣,柔和菱形（颌角弱化），内侧突出眉骨/窄深眼窝，长杏眼·眼尾平直·宽眼距，窄鼻根/轻鹰钩鼻梁/方圆鼻头，上厚下薄·嘴角下垂，收敛下颌
