domain_id,类型,名称,触发,范围,规则,限制,优势,代价,破坏方式
DM0218,声音领域,声音·咏唱三息,咏唱三息,一整个房间,速度分层,施术者不能移动,团队增益,身份痕迹,让施术者说出真名
DM0219,感知领域,感知·受创反启,受创反启,一条战线,位置可被抵押,施术者不能移动,封锁退路,记忆,用同源规则对冲
DM0220,空间领域,空间·睁眼即启,睁眼即启,百步方圆,影与本体互换,施术者不能移动,团队增益,记忆,击碎中心锚点
DM0221,生命领域,生命·击掌触发,击掌触发,一整个房间,语言即成真,范围内自己同样受限,抢先手,感官,让施术者说出真名
DM0222,温度领域,温度·画地为界,画地为界,百步方圆,语言即成真,对同一目标只生效一次,地形绝对化,感官,同时攻击内外两侧
DM0223,生命领域,生命·受创反启,受创反启,半径三步,方向不再可信,对同一目标只生效一次,抢先手,血液,同时攻击内外两侧
DM0224,声音领域,声音·静立不动,静立不动,百步方圆,位置可被抵押,施术者不能移动,团队增益,记忆,同时攻击内外两侧
DM0225,概念领域,概念·睁眼即启,睁眼即启,百步方圆,速度分层,破界即反噬,封锁退路,血液,击碎中心锚点
DM0226,概念领域,概念·以血为引,以血为引,一整个房间,距离被改写,每次不超过三息,抢先手,体温,让施术者说出真名
DM0227,规则领域,规则·睁眼即启,睁眼即启,一条战线,结果可被替换,破界即反噬,团队增益,血液,破坏触发条件
DM0228,规则领域,规则·以血为引,以血为引,一条战线,影与本体互换,范围内自己同样受限,抢先手,记忆,击碎中心锚点
DM0229,声音领域,声音·静立不动,静立不动,百步方圆,影与本体互换,范围内自己同样受限,制造不可预测,感官,让施术者说出真名
DM0230,温度领域,温度·击掌触发,击掌触发,自身为心,语言即成真,每次不超过三息,抢先手,感官,击碎中心锚点
DM0231,感知领域,感知·咏唱三息,咏唱三息,视线之内,结果可被替换,需持续消耗,封锁退路,血液,用同源规则对冲
DM0232,时间领域,时间·吞下媒介,吞下媒介,自身为心,重量可被赋予,施术者不能移动,地形绝对化,寿命,让施术者说出真名
DM0233,生命领域,生命·击掌触发,击掌触发,自身为心,速度分层,需持续消耗,抢先手,体温,同时攻击内外两侧
DM0234,声音领域,声音·击掌触发,击掌触发,半径三步,位置可被抵押,对同一目标只生效一次,团队增益,感官,破坏触发条件
DM0235,因果领域,因果·静立不动,静立不动,视线之内,某种力消失,每次不超过三息,封锁退路,血液,击碎中心锚点
DM0236,时间领域,时间·睁眼即启,睁眼即启,自身为心,位置可被抵押,施术者不能移动,封锁退路,血液,用同源规则对冲
DM0237,概念领域,概念·静立不动,静立不动,一条战线,位置可被抵押,需持续消耗,封锁退路,记忆,让施术者说出真名
DM0238,温度领域,温度·睁眼即启,睁眼即启,视线之内,某种力消失,范围内自己同样受限,封锁退路,血液,同时攻击内外两侧
DM0239,温度领域,温度·受创反启,受创反启,一条战线,位置可被抵押,破界即反噬,封锁退路,身份痕迹,让施术者说出真名
DM0240,生命领域,生命·睁眼即启,睁眼即启,一条战线,某种力消失,施术者不能移动,地形绝对化,体温,破坏触发条件
DM0241,影之领域,影之·画地为界,画地为界,视线之内,重量可被赋予,范围内自己同样受限,抢先手,身份痕迹,破坏触发条件
DM0242,温度领域,温度·睁眼即启,睁眼即启,一整个房间,语言即成真,破界即反噬,地形绝对化,身份痕迹,同时攻击内外两侧
DM0243,重力领域,重力·击掌触发,击掌触发,一整个房间,位置可被抵押,施术者不能移动,地形绝对化,体温,破坏触发条件
DM0244,生命领域,生命·吞下媒介,吞下媒介,半径三步,影与本体互换,破界即反噬,制造不可预测,感官,用同源规则对冲
DM0245,规则领域,规则·画地为界,画地为界,百步方圆,位置可被抵押,需持续消耗,抢先手,体温,破坏触发条件
DM0246,声音领域,声音·以血为引,以血为引,百步方圆,速度分层,需持续消耗,封锁退路,身份痕迹,击碎中心锚点
DM0247,声音领域,声音·静立不动,静立不动,视线之内,某种力消失,范围内自己同样受限,抢先手,血液,同时攻击内外两侧
DM0248,概念领域,概念·静立不动,静立不动,视线之内,语言即成真,破界即反噬,团队增益,感官,用同源规则对冲
DM0249,材料领域,材料·睁眼即启,睁眼即启,一条战线,重量可被赋予,需持续消耗,制造不可预测,身份痕迹,让施术者说出真名
DM0250,时间领域,时间·咏唱三息,咏唱三息,百步方圆,速度分层,施术者不能移动,制造不可预测,寿命,让施术者说出真名
DM0251,生命领域,生命·以血为引,以血为引,一整个房间,距离被改写,每次不超过三息,地形绝对化,血液,同时攻击内外两侧
DM0252,材料领域,材料·睁眼即启,睁眼即启,百步方圆,进入者被记录,对同一目标只生效一次,封锁退路,感官,破坏触发条件
DM0253,感知领域,感知·静立不动,静立不动,一条战线,进入者被记录,需持续消耗,抢先手,血液,破坏触发条件
DM0254,影之领域,影之·受创反启,受创反启,一条战线,重量可被赋予,范围内自己同样受限,抢先手,血液,用同源规则对冲
DM0255,因果领域,因果·静立不动,静立不动,自身为心,语言即成真,破界即反噬,抢先手,体温,同时攻击内外两侧
DM0256,影之领域,影之·受创反启,受创反启,百步方圆,距离被改写,破界即反噬,团队增益,寿命,破坏触发条件
DM0257,因果领域,因果·以血为引,以血为引,百步方圆,进入者被记录,对同一目标只生效一次,地形绝对化,记忆,击碎中心锚点
DM0258,感知领域,感知·咏唱三息,咏唱三息,自身为心,语言即成真,施术者不能移动,制造不可预测,体温,破坏触发条件
DM0259,影之领域,影之·吞下媒介,吞下媒介,百步方圆,进入者被记录,每次不超过三息,抢先手,血液,破坏触发条件
DM0260,材料领域,材料·吞下媒介,吞下媒介,自身为心,位置可被抵押,施术者不能移动,团队增益,血液,击碎中心锚点
DM0261,声音领域,声音·击掌触发,击掌触发,视线之内,语言即成真,需持续消耗,抢先手,血液,同时攻击内外两侧
DM0262,生命领域,生命·吞下媒介,吞下媒介,百步方圆,距离被改写,施术者不能移动,地形绝对化,体温,击碎中心锚点
DM0263,影之领域,影之·受创反启,受创反启,自身为心,结果可被替换,施术者不能移动,封锁退路,身份痕迹,击碎中心锚点
DM0264,空间领域,空间·击掌触发,击掌触发,视线之内,方向不再可信,需持续消耗,抢先手,血液,同时攻击内外两侧
DM0265,时间领域,时间·静立不动,静立不动,一整个房间,语言即成真,破界即反噬,团队增益,感官,破坏触发条件
DM0266,生命领域,生命·静立不动,静立不动,百步方圆,重量可被赋予,范围内自己同样受限,封锁退路,寿命,让施术者说出真名
DM0267,规则领域,规则·受创反启,受创反启,百步方圆,影与本体互换,对同一目标只生效一次,团队增益,身份痕迹,让施术者说出真名
DM0268,时间领域,时间·吞下媒介,吞下媒介,一整个房间,速度分层,每次不超过三息,封锁退路,身份痕迹,让施术者说出真名
DM0269,影之领域,影之·击掌触发,击掌触发,视线之内,位置可被抵押,需持续消耗,制造不可预测,寿命,用同源规则对冲
DM0270,材料领域,材料·咏唱三息,咏唱三息,半径三步,距离被改写,范围内自己同样受限,地形绝对化,感官,用同源规则对冲
DM0271,重力领域,重力·以血为引,以血为引,一条战线,影与本体互换,对同一目标只生效一次,制造不可预测,血液,击碎中心锚点
DM0272,因果领域,因果·画地为界,画地为界,一整个房间,方向不再可信,破界即反噬,封锁退路,感官,用同源规则对冲
DM0273,规则领域,规则·击掌触发,击掌触发,百步方圆,某种力消失,每次不超过三息,抢先手,记忆,击碎中心锚点
DM0274,空间领域,空间·击掌触发,击掌触发,一条战线,语言即成真,每次不超过三息,抢先手,血液,破坏触发条件
DM0275,因果领域,因果·击掌触发,击掌触发,视线之内,方向不再可信,破界即反噬,团队增益,体温,击碎中心锚点
DM0276,温度领域,温度·击掌触发,击掌触发,一整个房间,影与本体互换,施术者不能移动,封锁退路,记忆,破坏触发条件
DM0277,重力领域,重力·以血为引,以血为引,半径三步,重量可被赋予,对同一目标只生效一次,封锁退路,体温,击碎中心锚点
DM0278,温度领域,温度·静立不动,静立不动,一条战线,语言即成真,每次不超过三息,团队增益,身份痕迹,同时攻击内外两侧
DM0279,时间领域,时间·静立不动,静立不动,视线之内,距离被改写,每次不超过三息,团队增益,记忆,让施术者说出真名
DM0280,概念领域,概念·睁眼即启,睁眼即启,视线之内,结果可被替换,每次不超过三息,团队增益,体温,让施术者说出真名
DM0281,重力领域,重力·咏唱三息,咏唱三息,半径三步,影与本体互换,施术者不能移动,地形绝对化,记忆,让施术者说出真名
DM0282,温度领域,温度·吞下媒介,吞下媒介,一条战线,结果可被替换,需持续消耗,制造不可预测,记忆,同时攻击内外两侧
DM0283,因果领域,因果·睁眼即启,睁眼即启,视线之内,方向不再可信,对同一目标只生效一次,地形绝对化,寿命,用同源规则对冲
DM0284,声音领域,声音·受创反启,受创反启,一条战线,结果可被替换,需持续消耗,团队增益,身份痕迹,让施术者说出真名
DM0285,温度领域,温度·咏唱三息,咏唱三息,自身为心,结果可被替换,对同一目标只生效一次,制造不可预测,记忆,击碎中心锚点
DM0286,影之领域,影之·以血为引,以血为引,视线之内,位置可被抵押,每次不超过三息,团队增益,感官,击碎中心锚点
DM0287,温度领域,温度·静立不动,静立不动,自身为心,速度分层,破界即反噬,封锁退路,感官,击碎中心锚点
DM0288,因果领域,因果·咏唱三息,咏唱三息,百步方圆,某种力消失,每次不超过三息,地形绝对化,记忆,破坏触发条件
DM0289,规则领域,规则·受创反启,受创反启,视线之内,方向不再可信,需持续消耗,团队增益,体温,破坏触发条件
DM0290,概念领域,概念·受创反启,受创反启,半径三步,速度分层,范围内自己同样受限,地形绝对化,感官,用同源规则对冲
DM0291,材料领域,材料·静立不动,静立不动,百步方圆,某种力消失,对同一目标只生效一次,制造不可预测,身份痕迹,同时攻击内外两侧
DM0292,概念领域,概念·以血为引,以血为引,百步方圆,进入者被记录,施术者不能移动,抢先手,寿命,击碎中心锚点
DM0293,生命领域,生命·咏唱三息,咏唱三息,一整个房间,位置可被抵押,需持续消耗,抢先手,体温,破坏触发条件
DM0294,规则领域,规则·击掌触发,击掌触发,自身为心,结果可被替换,对同一目标只生效一次,封锁退路,寿命,让施术者说出真名
DM0295,空间领域,空间·画地为界,画地为界,一整个房间,某种力消失,破界即反噬,封锁退路,体温,让施术者说出真名
DM0296,时间领域,时间·以血为引,以血为引,一整个房间,速度分层,范围内自己同样受限,团队增益,体温,让施术者说出真名
DM0297,温度领域,温度·静立不动,静立不动,一整个房间,进入者被记录,范围内自己同样受限,抢先手,记忆,破坏触发条件
DM0298,生命领域,生命·咏唱三息,咏唱三息,半径三步,重量可被赋予,对同一目标只生效一次,制造不可预测,血液,击碎中心锚点
DM0299,时间领域,时间·睁眼即启,睁眼即启,一整个房间,进入者被记录,范围内自己同样受限,地形绝对化,体温,击碎中心锚点
DM0300,重力领域,重力·静立不动,静立不动,自身为心,语言即成真,需持续消耗,团队增益,体温,同时攻击内外两侧
DM0301,重力领域,重力·击掌触发,击掌触发,一条战线,速度分层,需持续消耗,团队增益,记忆,让施术者说出真名
DM0302,声音领域,声音·受创反启,受创反启,一条战线,方向不再可信,每次不超过三息,团队增益,身份痕迹,用同源规则对冲
DM0303,材料领域,材料·静立不动,静立不动,一整个房间,语言即成真,每次不超过三息,地形绝对化,身份痕迹,同时攻击内外两侧
DM0304,温度领域,温度·睁眼即启,睁眼即启,半径三步,进入者被记录,范围内自己同样受限,制造不可预测,寿命,破坏触发条件
DM0305,生命领域,生命·静立不动,静立不动,一整个房间,进入者被记录,施术者不能移动,抢先手,感官,让施术者说出真名
DM0306,感知领域,感知·受创反启,受创反启,半径三步,速度分层,每次不超过三息,地形绝对化,体温,让施术者说出真名
DM0307,因果领域,因果·吞下媒介,吞下媒介,自身为心,方向不再可信,每次不超过三息,抢先手,感官,让施术者说出真名
DM0308,生命领域,生命·咏唱三息,咏唱三息,一条战线,语言即成真,每次不超过三息,地形绝对化,记忆,用同源规则对冲
DM0309,感知领域,感知·击掌触发,击掌触发,自身为心,影与本体互换,施术者不能移动,封锁退路,感官,击碎中心锚点
DM0310,空间领域,空间·吞下媒介,吞下媒介,一整个房间,某种力消失,需持续消耗,制造不可预测,身份痕迹,破坏触发条件
DM0311,概念领域,概念·击掌触发,击掌触发,百步方圆,进入者被记录,需持续消耗,地形绝对化,寿命,击碎中心锚点
DM0312,空间领域,空间·以血为引,以血为引,自身为心,位置可被抵押,范围内自己同样受限,抢先手,记忆,让施术者说出真名
DM0313,时间领域,时间·咏唱三息,咏唱三息,一整个房间,位置可被抵押,范围内自己同样受限,团队增益,体温,让施术者说出真名
DM0314,时间领域,时间·以血为引,以血为引,视线之内,结果可被替换,破界即反噬,制造不可预测,身份痕迹,击碎中心锚点
DM0315,生命领域,生命·画地为界,画地为界,半径三步,方向不再可信,对同一目标只生效一次,团队增益,感官,用同源规则对冲
DM0316,规则领域,规则·以血为引,以血为引,视线之内,某种力消失,每次不超过三息,地形绝对化,体温,击碎中心锚点
DM0317,因果领域,因果·击掌触发,击掌触发,自身为心,距离被改写,破界即反噬,制造不可预测,血液,破坏触发条件
DM0318,因果领域,因果·受创反启,受创反启,百步方圆,方向不再可信,施术者不能移动,制造不可预测,记忆,同时攻击内外两侧
DM0319,重力领域,重力·睁眼即启,睁眼即启,百步方圆,某种力消失,破界即反噬,团队增益,体温,用同源规则对冲
DM0320,重力领域,重力·以血为引,以血为引,半径三步,方向不再可信,破界即反噬,地形绝对化,记忆,用同源规则对冲
