costume_id,阵营,剪影,结构要素,配饰,状态,描述
CS00203,宗门,长袍,外披短褂,臂环+颈饰,战损修补,宗门·长袍｜外披短褂｜臂环+颈饰｜战损修补
CS00204,贵族,多层衣摆,分片下摆,旧皮带+臂环,当下战损,贵族·多层衣摆｜分片下摆｜旧皮带+臂环｜当下战损
CS00205,灰区,轻甲,外披短褂,腰牌+颈饰,当下战损,灰区·轻甲｜外披短褂｜腰牌+颈饰｜当下战损
CS00206,战士团,束身,背部长摆,护腕+臂环,日常使用痕,战士团·束身｜背部长摆｜护腕+臂环｜日常使用痕
CS00207,灰区,重甲,暗袋夹层,药囊+符囊,边境磨损,灰区·重甲｜暗袋夹层｜药囊+符囊｜边境磨损
CS00208,宗门,披风,背部长摆,药囊+符囊,边境磨损,宗门·披风｜背部长摆｜药囊+符囊｜边境磨损
CS00209,恶灵,披风,暗袋夹层,额饰+护腕,战损修补,恶灵·披风｜暗袋夹层｜额饰+护腕｜战损修补
CS00210,恶灵,披风,外披短褂,药囊+护腕,身份剥除感,恶灵·披风｜外披短褂｜药囊+护腕｜身份剥除感
CS00211,恶灵,披风,胸甲结构,颈饰+药囊,当下战损,恶灵·披风｜胸甲结构｜颈饰+药囊｜当下战损
CS00212,隐世,轻甲,高领护颈,耳饰+腰牌,当下战损,隐世·轻甲｜高领护颈｜耳饰+腰牌｜当下战损
CS00213,学宫,多层衣摆,交领叠襟,令牌+护腕,战损修补,学宫·多层衣摆｜交领叠襟｜令牌+护腕｜战损修补
CS00214,学宫,半甲,绑带束腰,护腕+旧皮带,边境磨损,学宫·半甲｜绑带束腰｜护腕+旧皮带｜边境磨损
CS00215,恶灵,短衣,分片下摆,旧皮带+额饰,边境磨损,恶灵·短衣｜分片下摆｜旧皮带+额饰｜边境磨损
CS00216,王庭,非对称剪裁,分片下摆,旧皮带+符囊,当下战损,王庭·非对称剪裁｜分片下摆｜旧皮带+符囊｜当下战损
CS00217,复苏体,宽袖,外披短褂,旧皮带+令牌,战损修补,复苏体·宽袖｜外披短褂｜旧皮带+令牌｜战损修补
CS00218,商贾,重甲,肩甲结构,耳饰+令牌,边境磨损,商贾·重甲｜肩甲结构｜耳饰+令牌｜边境磨损
CS00219,宗门,披风,暗袋夹层,额饰+令牌,完整如新,宗门·披风｜暗袋夹层｜额饰+令牌｜完整如新
CS00220,战士团,重甲,交领叠襟,断扣+符囊,身份剥除感,战士团·重甲｜交领叠襟｜断扣+符囊｜身份剥除感
CS00221,学宫,非对称剪裁,背部长摆,臂环+断扣,完整如新,学宫·非对称剪裁｜背部长摆｜臂环+断扣｜完整如新
CS00222,贵族,腰封,交领叠襟,臂环+颈饰,战损修补,贵族·腰封｜交领叠襟｜臂环+颈饰｜战损修补
CS00223,恶灵,宽袖,高领护颈,药囊+令牌,身份剥除感,恶灵·宽袖｜高领护颈｜药囊+令牌｜身份剥除感
CS00224,宗门,披风,高领护颈,令牌+耳饰,当下战损,宗门·披风｜高领护颈｜令牌+耳饰｜当下战损
CS00225,流亡者,束身,分片下摆,臂环+符囊,日常使用痕,流亡者·束身｜分片下摆｜臂环+符囊｜日常使用痕
CS00226,贵族,腰封,背部长摆,旧皮带+臂环,身份剥除感,贵族·腰封｜背部长摆｜旧皮带+臂环｜身份剥除感
CS00227,流亡者,短衣,暗袋夹层,耳饰+旧皮带,边境磨损,流亡者·短衣｜暗袋夹层｜耳饰+旧皮带｜边境磨损
CS00228,王庭,非对称剪裁,绑带束腰,断扣+符囊,陈年旧物,王庭·非对称剪裁｜绑带束腰｜断扣+符囊｜陈年旧物
CS00229,恶灵,宽袖,绑带束腰,额饰+面具残片,完整如新,恶灵·宽袖｜绑带束腰｜额饰+面具残片｜完整如新
CS00230,游侠,半甲,胸甲结构,腰牌+耳饰,当下战损,游侠·半甲｜胸甲结构｜腰牌+耳饰｜当下战损
CS00231,镇墟司,护臂,暗袋夹层,护腕+颈饰,陈年旧物,镇墟司·护臂｜暗袋夹层｜护腕+颈饰｜陈年旧物
CS00232,医者,半甲,外披短褂,耳饰+护腕,日常使用痕,医者·半甲｜外披短褂｜耳饰+护腕｜日常使用痕
CS00233,战士团,腰封,背部长摆,额饰+耳饰,边境磨损,战士团·腰封｜背部长摆｜额饰+耳饰｜边境磨损
CS00234,镇墟司,非对称剪裁,绑带束腰,符囊+额饰,陈年旧物,镇墟司·非对称剪裁｜绑带束腰｜符囊+额饰｜陈年旧物
CS00235,王庭,披风,肩甲结构,药囊+护腕,身份剥除感,王庭·披风｜肩甲结构｜药囊+护腕｜身份剥除感
CS00236,镇墟司,重甲,腿部绑甲,药囊+耳饰,战损修补,镇墟司·重甲｜腿部绑甲｜药囊+耳饰｜战损修补
CS00237,贵族,长袍,背部长摆,令牌+护腕,陈年旧物,贵族·长袍｜背部长摆｜令牌+护腕｜陈年旧物
CS00238,恶灵,多层衣摆,腿部绑甲,旧皮带+符囊,身份剥除感,恶灵·多层衣摆｜腿部绑甲｜旧皮带+符囊｜身份剥除感
CS00239,复苏体,轻甲,暗袋夹层,符囊+臂环,边境磨损,复苏体·轻甲｜暗袋夹层｜符囊+臂环｜边境磨损
CS00240,隐世,轻甲,胸甲结构,符囊+护腕,战损修补,隐世·轻甲｜胸甲结构｜符囊+护腕｜战损修补
CS00241,商贾,短衣,胸甲结构,颈饰+符囊,完整如新,商贾·短衣｜胸甲结构｜颈饰+符囊｜完整如新
CS00242,灰区,短衣,腿部绑甲,颈饰+面具残片,日常使用痕,灰区·短衣｜腿部绑甲｜颈饰+面具残片｜日常使用痕
CS00243,商贾,轻甲,交领叠襟,臂环+令牌,当下战损,商贾·轻甲｜交领叠襟｜臂环+令牌｜当下战损
CS00244,灰区,束身,外披短褂,药囊+腰牌,身份剥除感,灰区·束身｜外披短褂｜药囊+腰牌｜身份剥除感
CS00245,镇墟司,轻甲,绑带束腰,面具残片+符囊,当下战损,镇墟司·轻甲｜绑带束腰｜面具残片+符囊｜当下战损
CS00246,灰区,护臂,高领护颈,耳饰+面具残片,日常使用痕,灰区·护臂｜高领护颈｜耳饰+面具残片｜日常使用痕
CS00247,流亡者,半甲,肩甲结构,面具残片+符囊,陈年旧物,流亡者·半甲｜肩甲结构｜面具残片+符囊｜陈年旧物
CS00248,战士团,短衣,分片下摆,臂环+额饰,边境磨损,战士团·短衣｜分片下摆｜臂环+额饰｜边境磨损
CS00249,流亡者,非对称剪裁,分片下摆,额饰+断扣,身份剥除感,流亡者·非对称剪裁｜分片下摆｜额饰+断扣｜身份剥除感
CS00250,学宫,非对称剪裁,暗袋夹层,面具残片+臂环,日常使用痕,学宫·非对称剪裁｜暗袋夹层｜面具残片+臂环｜日常使用痕
CS00251,战士团,轻甲,腿部绑甲,断扣+面具残片,身份剥除感,战士团·轻甲｜腿部绑甲｜断扣+面具残片｜身份剥除感
CS00252,贵族,短衣,外披短褂,旧皮带+颈饰,边境磨损,贵族·短衣｜外披短褂｜旧皮带+颈饰｜边境磨损
CS00253,恶灵,宽袖,交领叠襟,额饰+颈饰,边境磨损,恶灵·宽袖｜交领叠襟｜额饰+颈饰｜边境磨损
CS00254,灰区,多层衣摆,分片下摆,断扣+面具残片,边境磨损,灰区·多层衣摆｜分片下摆｜断扣+面具残片｜边境磨损
CS00255,商贾,护臂,分片下摆,耳饰+令牌,完整如新,商贾·护臂｜分片下摆｜耳饰+令牌｜完整如新
CS00256,游侠,多层衣摆,交领叠襟,腰牌+旧皮带,身份剥除感,游侠·多层衣摆｜交领叠襟｜腰牌+旧皮带｜身份剥除感
CS00257,镇墟司,披风,高领护颈,令牌+旧皮带,边境磨损,镇墟司·披风｜高领护颈｜令牌+旧皮带｜边境磨损
CS00258,游侠,轻甲,绑带束腰,腰牌+药囊,当下战损,游侠·轻甲｜绑带束腰｜腰牌+药囊｜当下战损
CS00259,复苏体,半甲,分片下摆,断扣+符囊,战损修补,复苏体·半甲｜分片下摆｜断扣+符囊｜战损修补
CS00260,恶灵,多层衣摆,胸甲结构,额饰+腰牌,完整如新,恶灵·多层衣摆｜胸甲结构｜额饰+腰牌｜完整如新
CS00261,镇墟司,护臂,分片下摆,面具残片+腰牌,当下战损,镇墟司·护臂｜分片下摆｜面具残片+腰牌｜当下战损
CS00262,复苏体,非对称剪裁,分片下摆,面具残片+令牌,陈年旧物,复苏体·非对称剪裁｜分片下摆｜面具残片+令牌｜陈年旧物
CS00263,镇墟司,非对称剪裁,交领叠襟,药囊+额饰,陈年旧物,镇墟司·非对称剪裁｜交领叠襟｜药囊+额饰｜陈年旧物
CS00264,王庭,长袍,高领护颈,旧皮带+符囊,完整如新,王庭·长袍｜高领护颈｜旧皮带+符囊｜完整如新
CS00265,王庭,重甲,腿部绑甲,符囊+断扣,战损修补,王庭·重甲｜腿部绑甲｜符囊+断扣｜战损修补
CS00266,王庭,短衣,肩甲结构,护腕+额饰,完整如新,王庭·短衣｜肩甲结构｜护腕+额饰｜完整如新
CS00267,隐世,腰封,外披短褂,药囊+臂环,战损修补,隐世·腰封｜外披短褂｜药囊+臂环｜战损修补
CS00268,流亡者,披风,绑带束腰,臂环+旧皮带,边境磨损,流亡者·披风｜绑带束腰｜臂环+旧皮带｜边境磨损
CS00269,流亡者,轻甲,交领叠襟,颈饰+断扣,战损修补,流亡者·轻甲｜交领叠襟｜颈饰+断扣｜战损修补
CS00270,王庭,短衣,外披短褂,臂环+令牌,战损修补,王庭·短衣｜外披短褂｜臂环+令牌｜战损修补
CS00271,王庭,长袍,胸甲结构,颈饰+旧皮带,边境磨损,王庭·长袍｜胸甲结构｜颈饰+旧皮带｜边境磨损
CS00272,贵族,束身,背部长摆,断扣+臂环,当下战损,贵族·束身｜背部长摆｜断扣+臂环｜当下战损
CS00273,宗门,重甲,背部长摆,耳饰+符囊,身份剥除感,宗门·重甲｜背部长摆｜耳饰+符囊｜身份剥除感
CS00274,镇墟司,轻甲,高领护颈,旧皮带+断扣,战损修补,镇墟司·轻甲｜高领护颈｜旧皮带+断扣｜战损修补
CS00275,镇墟司,长袍,交领叠襟,臂环+颈饰,身份剥除感,镇墟司·长袍｜交领叠襟｜臂环+颈饰｜身份剥除感
CS00276,贵族,腰封,交领叠襟,腰牌+护腕,完整如新,贵族·腰封｜交领叠襟｜腰牌+护腕｜完整如新
CS00277,复苏体,披风,肩甲结构,护腕+符囊,当下战损,复苏体·披风｜肩甲结构｜护腕+符囊｜当下战损
CS00278,战士团,多层衣摆,暗袋夹层,颈饰+旧皮带,完整如新,战士团·多层衣摆｜暗袋夹层｜颈饰+旧皮带｜完整如新
CS00279,游侠,披风,胸甲结构,令牌+护腕,战损修补,游侠·披风｜胸甲结构｜令牌+护腕｜战损修补
CS00280,流亡者,束身,胸甲结构,断扣+耳饰,完整如新,流亡者·束身｜胸甲结构｜断扣+耳饰｜完整如新
CS00281,战士团,护臂,腿部绑甲,颈饰+令牌,日常使用痕,战士团·护臂｜腿部绑甲｜颈饰+令牌｜日常使用痕
CS00282,游侠,束身,腿部绑甲,药囊+耳饰,身份剥除感,游侠·束身｜腿部绑甲｜药囊+耳饰｜身份剥除感
CS00283,隐世,短衣,绑带束腰,药囊+腰牌,身份剥除感,隐世·短衣｜绑带束腰｜药囊+腰牌｜身份剥除感
CS00284,镇墟司,轻甲,腿部绑甲,药囊+耳饰,日常使用痕,镇墟司·轻甲｜腿部绑甲｜药囊+耳饰｜日常使用痕
CS00285,镇墟司,轻甲,高领护颈,额饰+护腕,边境磨损,镇墟司·轻甲｜高领护颈｜额饰+护腕｜边境磨损
CS00286,宗门,半甲,高领护颈,旧皮带+面具残片,日常使用痕,宗门·半甲｜高领护颈｜旧皮带+面具残片｜日常使用痕
CS00287,贵族,宽袖,分片下摆,旧皮带+耳饰,身份剥除感,贵族·宽袖｜分片下摆｜旧皮带+耳饰｜身份剥除感
CS00288,恶灵,半甲,背部长摆,颈饰+护腕,身份剥除感,恶灵·半甲｜背部长摆｜颈饰+护腕｜身份剥除感
CS00289,隐世,长袍,高领护颈,药囊+旧皮带,身份剥除感,隐世·长袍｜高领护颈｜药囊+旧皮带｜身份剥除感
CS00290,恶灵,非对称剪裁,交领叠襟,臂环+令牌,日常使用痕,恶灵·非对称剪裁｜交领叠襟｜臂环+令牌｜日常使用痕
CS00291,复苏体,护臂,外披短褂,符囊+面具残片,边境磨损,复苏体·护臂｜外披短褂｜符囊+面具残片｜边境磨损
CS00292,灰区,非对称剪裁,交领叠襟,耳饰+令牌,当下战损,灰区·非对称剪裁｜交领叠襟｜耳饰+令牌｜当下战损
CS00293,商贾,披风,绑带束腰,药囊+断扣,边境磨损,商贾·披风｜绑带束腰｜药囊+断扣｜边境磨损
CS00294,复苏体,宽袖,绑带束腰,面具残片+耳饰,当下战损,复苏体·宽袖｜绑带束腰｜面具残片+耳饰｜当下战损
CS00295,恶灵,宽袖,分片下摆,符囊+药囊,当下战损,恶灵·宽袖｜分片下摆｜符囊+药囊｜当下战损
CS00296,游侠,宽袖,背部长摆,旧皮带+颈饰,战损修补,游侠·宽袖｜背部长摆｜旧皮带+颈饰｜战损修补
CS00297,宗门,长袍,肩甲结构,旧皮带+断扣,日常使用痕,宗门·长袍｜肩甲结构｜旧皮带+断扣｜日常使用痕
CS00298,学宫,重甲,分片下摆,腰牌+令牌,完整如新,学宫·重甲｜分片下摆｜腰牌+令牌｜完整如新
CS00299,学宫,护臂,分片下摆,断扣+护腕,日常使用痕,学宫·护臂｜分片下摆｜断扣+护腕｜日常使用痕
CS00300,王庭,束身,胸甲结构,令牌+额饰,完整如新,王庭·束身｜胸甲结构｜令牌+额饰｜完整如新
CS00301,恶灵,披风,外披短褂,额饰+符囊,日常使用痕,恶灵·披风｜外披短褂｜额饰+符囊｜日常使用痕
CS00302,流亡者,长袍,暗袋夹层,护腕+腰牌,当下战损,流亡者·长袍｜暗袋夹层｜护腕+腰牌｜当下战损
CS00303,医者,腰封,胸甲结构,耳饰+符囊,完整如新,医者·腰封｜胸甲结构｜耳饰+符囊｜完整如新
CS00304,商贾,披风,绑带束腰,面具残片+断扣,战损修补,商贾·披风｜绑带束腰｜面具残片+断扣｜战损修补
CS00305,游侠,重甲,暗袋夹层,旧皮带+药囊,日常使用痕,游侠·重甲｜暗袋夹层｜旧皮带+药囊｜日常使用痕
CS00306,隐世,多层衣摆,高领护颈,臂环+符囊,边境磨损,隐世·多层衣摆｜高领护颈｜臂环+符囊｜边境磨损
CS00307,恶灵,半甲,交领叠襟,旧皮带+臂环,边境磨损,恶灵·半甲｜交领叠襟｜旧皮带+臂环｜边境磨损
CS00308,流亡者,护臂,外披短褂,额饰+令牌,当下战损,流亡者·护臂｜外披短褂｜额饰+令牌｜当下战损
CS00309,学宫,重甲,交领叠襟,面具残片+断扣,身份剥除感,学宫·重甲｜交领叠襟｜面具残片+断扣｜身份剥除感
CS00310,商贾,重甲,暗袋夹层,耳饰+护腕,边境磨损,商贾·重甲｜暗袋夹层｜耳饰+护腕｜边境磨损
CS00311,医者,护臂,高领护颈,颈饰+符囊,日常使用痕,医者·护臂｜高领护颈｜颈饰+符囊｜日常使用痕
CS00312,游侠,多层衣摆,暗袋夹层,臂环+护腕,当下战损,游侠·多层衣摆｜暗袋夹层｜臂环+护腕｜当下战损
CS00313,流亡者,多层衣摆,胸甲结构,护腕+断扣,战损修补,流亡者·多层衣摆｜胸甲结构｜护腕+断扣｜战损修补
CS00314,战士团,束身,外披短褂,令牌+颈饰,当下战损,战士团·束身｜外披短褂｜令牌+颈饰｜当下战损
CS00315,游侠,半甲,腿部绑甲,腰牌+耳饰,当下战损,游侠·半甲｜腿部绑甲｜腰牌+耳饰｜当下战损
CS00316,学宫,轻甲,腿部绑甲,耳饰+臂环,战损修补,学宫·轻甲｜腿部绑甲｜耳饰+臂环｜战损修补
CS00317,王庭,非对称剪裁,外披短褂,臂环+额饰,战损修补,王庭·非对称剪裁｜外披短褂｜臂环+额饰｜战损修补
CS00318,宗门,短衣,胸甲结构,腰牌+符囊,完整如新,宗门·短衣｜胸甲结构｜腰牌+符囊｜完整如新
CS00319,宗门,长袍,分片下摆,腰牌+旧皮带,边境磨损,宗门·长袍｜分片下摆｜腰牌+旧皮带｜边境磨损
CS00320,游侠,束身,胸甲结构,旧皮带+令牌,日常使用痕,游侠·束身｜胸甲结构｜旧皮带+令牌｜日常使用痕
CS00321,贵族,非对称剪裁,绑带束腰,腰牌+药囊,身份剥除感,贵族·非对称剪裁｜绑带束腰｜腰牌+药囊｜身份剥除感
CS00322,战士团,多层衣摆,交领叠襟,断扣+额饰,战损修补,战士团·多层衣摆｜交领叠襟｜断扣+额饰｜战损修补
CS00323,王庭,多层衣摆,分片下摆,符囊+耳饰,边境磨损,王庭·多层衣摆｜分片下摆｜符囊+耳饰｜边境磨损
CS00324,隐世,多层衣摆,交领叠襟,额饰+臂环,战损修补,隐世·多层衣摆｜交领叠襟｜额饰+臂环｜战损修补
CS00325,战士团,多层衣摆,分片下摆,符囊+颈饰,战损修补,战士团·多层衣摆｜分片下摆｜符囊+颈饰｜战损修补
CS00326,镇墟司,轻甲,交领叠襟,额饰+药囊,日常使用痕,镇墟司·轻甲｜交领叠襟｜额饰+药囊｜日常使用痕
CS00327,战士团,轻甲,绑带束腰,臂环+腰牌,陈年旧物,战士团·轻甲｜绑带束腰｜臂环+腰牌｜陈年旧物
CS00328,学宫,腰封,分片下摆,断扣+符囊,日常使用痕,学宫·腰封｜分片下摆｜断扣+符囊｜日常使用痕
CS00329,流亡者,长袍,高领护颈,断扣+药囊,边境磨损,流亡者·长袍｜高领护颈｜断扣+药囊｜边境磨损
CS00330,流亡者,宽袖,分片下摆,药囊+面具残片,战损修补,流亡者·宽袖｜分片下摆｜药囊+面具残片｜战损修补
CS00331,贵族,长袍,胸甲结构,断扣+颈饰,战损修补,贵族·长袍｜胸甲结构｜断扣+颈饰｜战损修补
CS00332,学宫,长袍,暗袋夹层,护腕+额饰,日常使用痕,学宫·长袍｜暗袋夹层｜护腕+额饰｜日常使用痕
CS00333,灰区,束身,外披短褂,臂环+护腕,边境磨损,灰区·束身｜外披短褂｜臂环+护腕｜边境磨损
CS00334,隐世,非对称剪裁,外披短褂,断扣+旧皮带,完整如新,隐世·非对称剪裁｜外披短褂｜断扣+旧皮带｜完整如新
CS00335,复苏体,长袍,腿部绑甲,臂环+额饰,陈年旧物,复苏体·长袍｜腿部绑甲｜臂环+额饰｜陈年旧物
CS00336,学宫,非对称剪裁,暗袋夹层,腰牌+药囊,当下战损,学宫·非对称剪裁｜暗袋夹层｜腰牌+药囊｜当下战损
CS00337,灰区,短衣,腿部绑甲,臂环+耳饰,边境磨损,灰区·短衣｜腿部绑甲｜臂环+耳饰｜边境磨损
CS00338,灰区,半甲,肩甲结构,护腕+耳饰,战损修补,灰区·半甲｜肩甲结构｜护腕+耳饰｜战损修补
CS00339,复苏体,束身,外披短褂,药囊+护腕,战损修补,复苏体·束身｜外披短褂｜药囊+护腕｜战损修补
CS00340,复苏体,短衣,绑带束腰,护腕+药囊,陈年旧物,复苏体·短衣｜绑带束腰｜护腕+药囊｜陈年旧物
CS00341,恶灵,半甲,暗袋夹层,颈饰+护腕,身份剥除感,恶灵·半甲｜暗袋夹层｜颈饰+护腕｜身份剥除感
CS00342,镇墟司,半甲,暗袋夹层,臂环+颈饰,完整如新,镇墟司·半甲｜暗袋夹层｜臂环+颈饰｜完整如新
CS00343,灰区,短衣,肩甲结构,额饰+耳饰,战损修补,灰区·短衣｜肩甲结构｜额饰+耳饰｜战损修补
CS00344,学宫,护臂,高领护颈,面具残片+药囊,陈年旧物,学宫·护臂｜高领护颈｜面具残片+药囊｜陈年旧物
CS00345,流亡者,非对称剪裁,分片下摆,令牌+药囊,陈年旧物,流亡者·非对称剪裁｜分片下摆｜令牌+药囊｜陈年旧物
CS00346,学宫,长袍,绑带束腰,耳饰+断扣,边境磨损,学宫·长袍｜绑带束腰｜耳饰+断扣｜边境磨损
CS00347,医者,轻甲,胸甲结构,旧皮带+护腕,完整如新,医者·轻甲｜胸甲结构｜旧皮带+护腕｜完整如新
CS00348,游侠,多层衣摆,胸甲结构,额饰+护腕,边境磨损,游侠·多层衣摆｜胸甲结构｜额饰+护腕｜边境磨损
CS00349,流亡者,护臂,外披短褂,臂环+符囊,身份剥除感,流亡者·护臂｜外披短褂｜臂环+符囊｜身份剥除感
CS00350,医者,非对称剪裁,绑带束腰,药囊+符囊,完整如新,医者·非对称剪裁｜绑带束腰｜药囊+符囊｜完整如新
CS00351,王庭,腰封,胸甲结构,护腕+面具残片,战损修补,王庭·腰封｜胸甲结构｜护腕+面具残片｜战损修补
CS00352,恶灵,束身,肩甲结构,腰牌+旧皮带,当下战损,恶灵·束身｜肩甲结构｜腰牌+旧皮带｜当下战损
CS00353,医者,非对称剪裁,外披短褂,颈饰+护腕,陈年旧物,医者·非对称剪裁｜外披短褂｜颈饰+护腕｜陈年旧物
CS00354,战士团,护臂,胸甲结构,面具残片+颈饰,战损修补,战士团·护臂｜胸甲结构｜面具残片+颈饰｜战损修补
CS00355,恶灵,重甲,胸甲结构,断扣+颈饰,日常使用痕,恶灵·重甲｜胸甲结构｜断扣+颈饰｜日常使用痕
CS00356,战士团,长袍,交领叠襟,颈饰+面具残片,完整如新,战士团·长袍｜交领叠襟｜颈饰+面具残片｜完整如新
CS00357,游侠,短衣,腿部绑甲,符囊+腰牌,日常使用痕,游侠·短衣｜腿部绑甲｜符囊+腰牌｜日常使用痕
CS00358,宗门,长袍,肩甲结构,护腕+旧皮带,完整如新,宗门·长袍｜肩甲结构｜护腕+旧皮带｜完整如新
CS00359,贵族,束身,外披短褂,耳饰+腰牌,当下战损,贵族·束身｜外披短褂｜耳饰+腰牌｜当下战损
CS00360,学宫,重甲,暗袋夹层,护腕+耳饰,完整如新,学宫·重甲｜暗袋夹层｜护腕+耳饰｜完整如新
CS00361,医者,护臂,背部长摆,臂环+断扣,陈年旧物,医者·护臂｜背部长摆｜臂环+断扣｜陈年旧物
CS00362,游侠,重甲,交领叠襟,令牌+旧皮带,边境磨损,游侠·重甲｜交领叠襟｜令牌+旧皮带｜边境磨损
CS00363,医者,非对称剪裁,胸甲结构,护腕+臂环,当下战损,医者·非对称剪裁｜胸甲结构｜护腕+臂环｜当下战损
CS00364,贵族,长袍,交领叠襟,腰牌+颈饰,身份剥除感,贵族·长袍｜交领叠襟｜腰牌+颈饰｜身份剥除感
CS00365,医者,腰封,暗袋夹层,符囊+腰牌,当下战损,医者·腰封｜暗袋夹层｜符囊+腰牌｜当下战损
CS00366,宗门,多层衣摆,外披短褂,额饰+面具残片,日常使用痕,宗门·多层衣摆｜外披短褂｜额饰+面具残片｜日常使用痕
CS00367,战士团,非对称剪裁,背部长摆,腰牌+令牌,身份剥除感,战士团·非对称剪裁｜背部长摆｜腰牌+令牌｜身份剥除感
CS00368,战士团,披风,高领护颈,臂环+面具残片,当下战损,战士团·披风｜高领护颈｜臂环+面具残片｜当下战损
CS00369,流亡者,重甲,肩甲结构,符囊+额饰,日常使用痕,流亡者·重甲｜肩甲结构｜符囊+额饰｜日常使用痕
CS00370,王庭,披风,外披短褂,符囊+护腕,陈年旧物,王庭·披风｜外披短褂｜符囊+护腕｜陈年旧物
CS00371,战士团,腰封,背部长摆,符囊+臂环,战损修补,战士团·腰封｜背部长摆｜符囊+臂环｜战损修补
CS00372,游侠,多层衣摆,暗袋夹层,令牌+药囊,陈年旧物,游侠·多层衣摆｜暗袋夹层｜令牌+药囊｜陈年旧物
CS00373,学宫,重甲,暗袋夹层,臂环+旧皮带,当下战损,学宫·重甲｜暗袋夹层｜臂环+旧皮带｜当下战损
CS00374,商贾,护臂,交领叠襟,断扣+旧皮带,战损修补,商贾·护臂｜交领叠襟｜断扣+旧皮带｜战损修补
CS00375,隐世,短衣,高领护颈,颈饰+额饰,战损修补,隐世·短衣｜高领护颈｜颈饰+额饰｜战损修补
CS00376,镇墟司,护臂,腿部绑甲,旧皮带+颈饰,战损修补,镇墟司·护臂｜腿部绑甲｜旧皮带+颈饰｜战损修补
CS00377,流亡者,短衣,背部长摆,腰牌+护腕,身份剥除感,流亡者·短衣｜背部长摆｜腰牌+护腕｜身份剥除感
CS00378,流亡者,短衣,腿部绑甲,耳饰+令牌,当下战损,流亡者·短衣｜腿部绑甲｜耳饰+令牌｜当下战损
CS00379,镇墟司,半甲,背部长摆,面具残片+颈饰,完整如新,镇墟司·半甲｜背部长摆｜面具残片+颈饰｜完整如新
CS00380,流亡者,半甲,分片下摆,符囊+额饰,战损修补,流亡者·半甲｜分片下摆｜符囊+额饰｜战损修补
CS00381,隐世,宽袖,胸甲结构,颈饰+耳饰,日常使用痕,隐世·宽袖｜胸甲结构｜颈饰+耳饰｜日常使用痕
CS00382,商贾,宽袖,暗袋夹层,符囊+药囊,身份剥除感,商贾·宽袖｜暗袋夹层｜符囊+药囊｜身份剥除感
CS00383,王庭,护臂,绑带束腰,臂环+药囊,战损修补,王庭·护臂｜绑带束腰｜臂环+药囊｜战损修补
CS00384,医者,长袍,绑带束腰,旧皮带+颈饰,身份剥除感,医者·长袍｜绑带束腰｜旧皮带+颈饰｜身份剥除感
CS00385,王庭,非对称剪裁,分片下摆,臂环+旧皮带,边境磨损,王庭·非对称剪裁｜分片下摆｜臂环+旧皮带｜边境磨损
CS00386,战士团,半甲,胸甲结构,额饰+护腕,边境磨损,战士团·半甲｜胸甲结构｜额饰+护腕｜边境磨损
CS00387,学宫,腰封,交领叠襟,断扣+腰牌,日常使用痕,学宫·腰封｜交领叠襟｜断扣+腰牌｜日常使用痕
CS00388,王庭,多层衣摆,外披短褂,耳饰+腰牌,边境磨损,王庭·多层衣摆｜外披短褂｜耳饰+腰牌｜边境磨损
CS00389,流亡者,披风,绑带束腰,耳饰+旧皮带,陈年旧物,流亡者·披风｜绑带束腰｜耳饰+旧皮带｜陈年旧物
CS00390,学宫,半甲,腿部绑甲,额饰+令牌,完整如新,学宫·半甲｜腿部绑甲｜额饰+令牌｜完整如新
CS00391,宗门,护臂,绑带束腰,令牌+断扣,日常使用痕,宗门·护臂｜绑带束腰｜令牌+断扣｜日常使用痕
CS00392,镇墟司,护臂,胸甲结构,符囊+颈饰,当下战损,镇墟司·护臂｜胸甲结构｜符囊+颈饰｜当下战损
CS00393,医者,多层衣摆,肩甲结构,药囊+腰牌,边境磨损,医者·多层衣摆｜肩甲结构｜药囊+腰牌｜边境磨损
CS00394,医者,披风,交领叠襟,护腕+旧皮带,当下战损,医者·披风｜交领叠襟｜护腕+旧皮带｜当下战损
CS00395,战士团,披风,肩甲结构,额饰+令牌,身份剥除感,战士团·披风｜肩甲结构｜额饰+令牌｜身份剥除感
CS00396,游侠,宽袖,分片下摆,断扣+颈饰,日常使用痕,游侠·宽袖｜分片下摆｜断扣+颈饰｜日常使用痕
CS00397,隐世,重甲,胸甲结构,药囊+令牌,完整如新,隐世·重甲｜胸甲结构｜药囊+令牌｜完整如新
CS00398,流亡者,披风,背部长摆,额饰+旧皮带,边境磨损,流亡者·披风｜背部长摆｜额饰+旧皮带｜边境磨损
CS00399,灰区,短衣,背部长摆,令牌+额饰,陈年旧物,灰区·短衣｜背部长摆｜令牌+额饰｜陈年旧物
CS00400,宗门,非对称剪裁,暗袋夹层,颈饰+臂环,日常使用痕,宗门·非对称剪裁｜暗袋夹层｜颈饰+臂环｜日常使用痕
CS00401,贵族,重甲,背部长摆,药囊+旧皮带,日常使用痕,贵族·重甲｜背部长摆｜药囊+旧皮带｜日常使用痕
CS00402,灰区,重甲,暗袋夹层,令牌+面具残片,战损修补,灰区·重甲｜暗袋夹层｜令牌+面具残片｜战损修补
CS00403,恶灵,多层衣摆,背部长摆,药囊+令牌,战损修补,恶灵·多层衣摆｜背部长摆｜药囊+令牌｜战损修补
