p_id,第一眼,第二眼,第三眼,关键词串,视觉化要点,一句话
PS00272,从容,妖异,高贵,从容、妖异、高贵,从容→收紧动作幅度与表情；妖异→稳定眼神；高贵→破损细节,第一眼从容，第二眼妖异，第三眼高贵
PS00273,病弱,直率,强健,病弱、直率、强健,病弱→收紧动作幅度与表情；直率→稳定眼神；强健→反差配色,第一眼病弱，第二眼直率，第三眼强健
PS00274,凌厉,悲悯,温雅,凌厉、悲悯、温雅,凌厉→收紧动作幅度与表情；悲悯→结构不对称；温雅→简洁剪影,第一眼凌厉，第二眼悲悯，第三眼温雅
PS00275,通透,天真,躁动,通透、天真、躁动,通透→收紧动作幅度与表情；天真→稳定眼神；躁动→破损细节,第一眼通透，第二眼天真，第三眼躁动
PS00276,隐忍,张扬,虔诚,隐忍、张扬、虔诚,隐忍→收紧动作幅度与表情；张扬→放松眼尾/嘴角；虔诚→破损细节,第一眼隐忍，第二眼张扬，第三眼虔诚
PS00277,沉稳,亲和,聪慧,沉稳、亲和、聪慧,沉稳→收紧动作幅度与表情；亲和→放松眼尾/嘴角；聪慧→高洁材质,第一眼沉稳，第二眼亲和，第三眼聪慧
PS00278,执拗,妖异,市井,执拗、妖异、市井,执拗→收紧动作幅度与表情；妖异→稳定眼神；市井→高洁材质,第一眼执拗，第二眼妖异，第三眼市井
PS00279,通透,暴烈,强健,通透、暴烈、强健,通透→收紧动作幅度与表情；暴烈→稳定眼神；强健→层叠结构,第一眼通透，第二眼暴烈，第三眼强健
PS00280,沧桑,暴烈,克制,沧桑、暴烈、克制,沧桑→收紧动作幅度与表情；暴烈→稳定眼神；克制→层叠结构,第一眼沧桑，第二眼暴烈，第三眼克制
PS00281,温柔,警觉,强健,温柔、警觉、强健,温柔→收紧动作幅度与表情；警觉→强烈轮廓；强健→层叠结构,第一眼温柔，第二眼警觉，第三眼强健
PS00282,明亮,执拗,暴烈,明亮、执拗、暴烈,明亮→收紧动作幅度与表情；执拗→结构不对称；暴烈→破损细节,第一眼明亮，第二眼执拗，第三眼暴烈
PS00283,疯狂,疏离,叛逆,疯狂、疏离、叛逆,疯狂→收紧动作幅度与表情；疏离→放松眼尾/嘴角；叛逆→破损细节,第一眼疯狂，第二眼疏离，第三眼叛逆
PS00284,聪慧,隐忍,市井,聪慧、隐忍、市井,聪慧→收紧动作幅度与表情；隐忍→放松眼尾/嘴角；市井→简洁剪影,第一眼聪慧，第二眼隐忍，第三眼市井
PS00285,冷酷,温柔,凌厉,冷酷、温柔、凌厉,冷酷→收紧动作幅度与表情；温柔→强烈轮廓；凌厉→高洁材质,第一眼冷酷，第二眼温柔，第三眼凌厉
PS00286,克己,从容,可靠,克己、从容、可靠,克己→收紧动作幅度与表情；从容→材质温润；可靠→层叠结构,第一眼克己，第二眼从容，第三眼可靠
PS00287,市井,暴烈,直率,市井、暴烈、直率,市井→收紧动作幅度与表情；暴烈→强烈轮廓；直率→反差配色,第一眼市井，第二眼暴烈，第三眼直率
PS00288,天真,危险,可靠,天真、危险、可靠,天真→收紧动作幅度与表情；危险→锐利眼型；可靠→反差配色,第一眼天真，第二眼危险，第三眼可靠
PS00289,清冷,局促,强健,清冷、局促、强健,清冷→收紧动作幅度与表情；局促→结构不对称；强健→高洁材质,第一眼清冷，第二眼局促，第三眼强健
PS00290,柔软,病弱,妖异,柔软、病弱、妖异,柔软→收紧动作幅度与表情；病弱→结构不对称；妖异→高洁材质,第一眼柔软，第二眼病弱，第三眼妖异
PS00291,坚毅,柔软,危险,坚毅、柔软、危险,坚毅→收紧动作幅度与表情；柔软→材质温润；危险→高洁材质,第一眼坚毅，第二眼柔软，第三眼危险
PS00292,沧桑,清冷,狠戾,沧桑、清冷、狠戾,沧桑→收紧动作幅度与表情；清冷→结构不对称；狠戾→高洁材质,第一眼沧桑，第二眼清冷，第三眼狠戾
PS00293,疏离,野性,危险,疏离、野性、危险,疏离→收紧动作幅度与表情；野性→非人平静；危险→高洁材质,第一眼疏离，第二眼野性，第三眼危险
PS00294,亲和,坚毅,放纵,亲和、坚毅、放纵,亲和→收紧动作幅度与表情；坚毅→放松眼尾/嘴角；放纵→反差配色,第一眼亲和，第二眼坚毅，第三眼放纵
PS00295,沧桑,慵懒,孤傲,沧桑、慵懒、孤傲,沧桑→收紧动作幅度与表情；慵懒→结构不对称；孤傲→破损细节,第一眼沧桑，第二眼慵懒，第三眼孤傲
PS00296,隐忍,孤傲,放纵,隐忍、孤傲、放纵,隐忍→收紧动作幅度与表情；孤傲→材质温润；放纵→破损细节,第一眼隐忍，第二眼孤傲，第三眼放纵
PS00297,疯狂,温雅,通透,疯狂、温雅、通透,疯狂→收紧动作幅度与表情；温雅→锐利眼型；通透→破损细节,第一眼疯狂，第二眼温雅，第三眼通透
PS00298,通透,清冷,神秘,通透、清冷、神秘,通透→收紧动作幅度与表情；清冷→非人平静；神秘→破损细节,第一眼通透，第二眼清冷，第三眼神秘
PS00299,散漫,高贵,可靠,散漫、高贵、可靠,散漫→收紧动作幅度与表情；高贵→稳定眼神；可靠→高洁材质,第一眼散漫，第二眼高贵，第三眼可靠
PS00300,市井,凌厉,执拗,市井、凌厉、执拗,市井→收紧动作幅度与表情；凌厉→锐利眼型；执拗→反差配色,第一眼市井，第二眼凌厉，第三眼执拗
PS00301,警觉,凌厉,坦然,警觉、凌厉、坦然,警觉→收紧动作幅度与表情；凌厉→结构不对称；坦然→破损细节,第一眼警觉，第二眼凌厉，第三眼坦然
PS00302,沧桑,温柔,散漫,沧桑、温柔、散漫,沧桑→收紧动作幅度与表情；温柔→稳定眼神；散漫→破损细节,第一眼沧桑，第二眼温柔，第三眼散漫
PS00303,虔诚,清冷,局促,虔诚、清冷、局促,虔诚→收紧动作幅度与表情；清冷→非人平静；局促→反差配色,第一眼虔诚，第二眼清冷，第三眼局促
PS00304,悲悯,慵懒,放纵,悲悯、慵懒、放纵,悲悯→收紧动作幅度与表情；慵懒→稳定眼神；放纵→层叠结构,第一眼悲悯，第二眼慵懒，第三眼放纵
PS00305,柔软,神秘,妖异,柔软、神秘、妖异,柔软→收紧动作幅度与表情；神秘→放松眼尾/嘴角；妖异→层叠结构,第一眼柔软，第二眼神秘，第三眼妖异
PS00306,高贵,沧桑,危险,高贵、沧桑、危险,高贵→收紧动作幅度与表情；沧桑→材质温润；危险→简洁剪影,第一眼高贵，第二眼沧桑，第三眼危险
PS00307,市井,坚毅,沧桑,市井、坚毅、沧桑,市井→收紧动作幅度与表情；坚毅→放松眼尾/嘴角；沧桑→反差配色,第一眼市井，第二眼坚毅，第三眼沧桑
PS00308,坦然,阴郁,执拗,坦然、阴郁、执拗,坦然→收紧动作幅度与表情；阴郁→强烈轮廓；执拗→高洁材质,第一眼坦然，第二眼阴郁，第三眼执拗
PS00309,克己,从容,柔软,克己、从容、柔软,克己→收紧动作幅度与表情；从容→锐利眼型；柔软→反差配色,第一眼克己，第二眼从容，第三眼柔软
PS00310,放纵,坚毅,张扬,放纵、坚毅、张扬,放纵→收紧动作幅度与表情；坚毅→非人平静；张扬→简洁剪影,第一眼放纵，第二眼坚毅，第三眼张扬
PS00311,狠戾,执拗,躁动,狠戾、执拗、躁动,狠戾→收紧动作幅度与表情；执拗→结构不对称；躁动→简洁剪影,第一眼狠戾，第二眼执拗，第三眼躁动
PS00312,通透,放纵,神性,通透、放纵、神性,通透→收紧动作幅度与表情；放纵→放松眼尾/嘴角；神性→反差配色,第一眼通透，第二眼放纵，第三眼神性
PS00313,柔软,通透,隐忍,柔软、通透、隐忍,柔软→收紧动作幅度与表情；通透→锐利眼型；隐忍→简洁剪影,第一眼柔软，第二眼通透，第三眼隐忍
PS00314,危险,明亮,强健,危险、明亮、强健,危险→收紧动作幅度与表情；明亮→强烈轮廓；强健→层叠结构,第一眼危险，第二眼明亮，第三眼强健
PS00315,躁动,阴郁,沉静,躁动、阴郁、沉静,躁动→收紧动作幅度与表情；阴郁→稳定眼神；沉静→层叠结构,第一眼躁动，第二眼阴郁，第三眼沉静
PS00316,放纵,野性,警觉,放纵、野性、警觉,放纵→收紧动作幅度与表情；野性→材质温润；警觉→破损细节,第一眼放纵，第二眼野性，第三眼警觉
PS00317,隐忍,沉静,市井,隐忍、沉静、市井,隐忍→收紧动作幅度与表情；沉静→放松眼尾/嘴角；市井→破损细节,第一眼隐忍，第二眼沉静，第三眼市井
PS00318,沉静,强健,狠戾,沉静、强健、狠戾,沉静→收紧动作幅度与表情；强健→结构不对称；狠戾→层叠结构,第一眼沉静，第二眼强健，第三眼狠戾
PS00319,可靠,孤傲,危险,可靠、孤傲、危险,可靠→收紧动作幅度与表情；孤傲→结构不对称；危险→层叠结构,第一眼可靠，第二眼孤傲，第三眼危险
PS00320,聪慧,凌厉,天真,聪慧、凌厉、天真,聪慧→收紧动作幅度与表情；凌厉→材质温润；天真→高洁材质,第一眼聪慧，第二眼凌厉，第三眼天真
PS00321,隐忍,悲悯,温润,隐忍、悲悯、温润,隐忍→收紧动作幅度与表情；悲悯→强烈轮廓；温润→反差配色,第一眼隐忍，第二眼悲悯，第三眼温润
PS00322,市井,狠戾,虔诚,市井、狠戾、虔诚,市井→收紧动作幅度与表情；狠戾→强烈轮廓；虔诚→破损细节,第一眼市井，第二眼狠戾，第三眼虔诚
PS00323,温润,亲和,从容,温润、亲和、从容,温润→收紧动作幅度与表情；亲和→材质温润；从容→高洁材质,第一眼温润，第二眼亲和，第三眼从容
PS00324,清冷,危险,高贵,清冷、危险、高贵,清冷→收紧动作幅度与表情；危险→强烈轮廓；高贵→简洁剪影,第一眼清冷，第二眼危险，第三眼高贵
PS00325,温润,沉静,执拗,温润、沉静、执拗,温润→收紧动作幅度与表情；沉静→非人平静；执拗→破损细节,第一眼温润，第二眼沉静，第三眼执拗
PS00326,直率,明亮,可靠,直率、明亮、可靠,直率→收紧动作幅度与表情；明亮→强烈轮廓；可靠→简洁剪影,第一眼直率，第二眼明亮，第三眼可靠
PS00327,警觉,躁动,放纵,警觉、躁动、放纵,警觉→收紧动作幅度与表情；躁动→材质温润；放纵→高洁材质,第一眼警觉，第二眼躁动，第三眼放纵
PS00328,躁动,清冷,冷酷,躁动、清冷、冷酷,躁动→收紧动作幅度与表情；清冷→放松眼尾/嘴角；冷酷→反差配色,第一眼躁动，第二眼清冷，第三眼冷酷
PS00329,坦然,隐忍,直率,坦然、隐忍、直率,坦然→收紧动作幅度与表情；隐忍→强烈轮廓；直率→层叠结构,第一眼坦然，第二眼隐忍，第三眼直率
PS00330,狠戾,放纵,可靠,狠戾、放纵、可靠,狠戾→收紧动作幅度与表情；放纵→锐利眼型；可靠→反差配色,第一眼狠戾，第二眼放纵，第三眼可靠
PS00331,坦然,狠戾,沉稳,坦然、狠戾、沉稳,坦然→收紧动作幅度与表情；狠戾→锐利眼型；沉稳→高洁材质,第一眼坦然，第二眼狠戾，第三眼沉稳
PS00332,冷酷,隐忍,高贵,冷酷、隐忍、高贵,冷酷→收紧动作幅度与表情；隐忍→稳定眼神；高贵→反差配色,第一眼冷酷，第二眼隐忍，第三眼高贵
PS00333,沧桑,从容,局促,沧桑、从容、局促,沧桑→收紧动作幅度与表情；从容→锐利眼型；局促→简洁剪影,第一眼沧桑，第二眼从容，第三眼局促
PS00334,散漫,野性,强健,散漫、野性、强健,散漫→收紧动作幅度与表情；野性→材质温润；强健→破损细节,第一眼散漫，第二眼野性，第三眼强健
PS00335,坚毅,坦然,温润,坚毅、坦然、温润,坚毅→收紧动作幅度与表情；坦然→材质温润；温润→简洁剪影,第一眼坚毅，第二眼坦然，第三眼温润
PS00336,阴郁,克己,警觉,阴郁、克己、警觉,阴郁→收紧动作幅度与表情；克己→结构不对称；警觉→高洁材质,第一眼阴郁，第二眼克己，第三眼警觉
PS00337,悲悯,通透,坦然,悲悯、通透、坦然,悲悯→收紧动作幅度与表情；通透→非人平静；坦然→反差配色,第一眼悲悯，第二眼通透，第三眼坦然
PS00338,直率,可靠,病弱,直率、可靠、病弱,直率→收紧动作幅度与表情；可靠→非人平静；病弱→高洁材质,第一眼直率，第二眼可靠，第三眼病弱
PS00339,从容,高贵,直率,从容、高贵、直率,从容→收紧动作幅度与表情；高贵→材质温润；直率→高洁材质,第一眼从容，第二眼高贵，第三眼直率
PS00340,坦然,放纵,危险,坦然、放纵、危险,坦然→收紧动作幅度与表情；放纵→非人平静；危险→层叠结构,第一眼坦然，第二眼放纵，第三眼危险
PS00341,通透,执拗,聪慧,通透、执拗、聪慧,通透→收紧动作幅度与表情；执拗→结构不对称；聪慧→高洁材质,第一眼通透，第二眼执拗，第三眼聪慧
PS00342,从容,局促,危险,从容、局促、危险,从容→收紧动作幅度与表情；局促→锐利眼型；危险→层叠结构,第一眼从容，第二眼局促，第三眼危险
PS00343,慵懒,悲悯,警觉,慵懒、悲悯、警觉,慵懒→收紧动作幅度与表情；悲悯→强烈轮廓；警觉→简洁剪影,第一眼慵懒，第二眼悲悯，第三眼警觉
PS00344,神秘,温柔,阴郁,神秘、温柔、阴郁,神秘→收紧动作幅度与表情；温柔→锐利眼型；阴郁→层叠结构,第一眼神秘，第二眼温柔，第三眼阴郁
PS00345,克己,柔软,沉静,克己、柔软、沉静,克己→收紧动作幅度与表情；柔软→强烈轮廓；沉静→破损细节,第一眼克己，第二眼柔软，第三眼沉静
PS00346,孤傲,隐忍,警觉,孤傲、隐忍、警觉,孤傲→收紧动作幅度与表情；隐忍→锐利眼型；警觉→反差配色,第一眼孤傲，第二眼隐忍，第三眼警觉
PS00347,聪慧,慵懒,沉静,聪慧、慵懒、沉静,聪慧→收紧动作幅度与表情；慵懒→结构不对称；沉静→简洁剪影,第一眼聪慧，第二眼慵懒，第三眼沉静
PS00348,神性,直率,野性,神性、直率、野性,神性→收紧动作幅度与表情；直率→放松眼尾/嘴角；野性→简洁剪影,第一眼神性，第二眼直率，第三眼野性
PS00349,躁动,温雅,从容,躁动、温雅、从容,躁动→收紧动作幅度与表情；温雅→材质温润；从容→层叠结构,第一眼躁动，第二眼温雅，第三眼从容
PS00350,天真,慵懒,执拗,天真、慵懒、执拗,天真→收紧动作幅度与表情；慵懒→结构不对称；执拗→反差配色,第一眼天真，第二眼慵懒，第三眼执拗
PS00351,沧桑,冷酷,克制,沧桑、冷酷、克制,沧桑→收紧动作幅度与表情；冷酷→结构不对称；克制→高洁材质,第一眼沧桑，第二眼冷酷，第三眼克制
PS00352,虔诚,暴烈,疯狂,虔诚、暴烈、疯狂,虔诚→收紧动作幅度与表情；暴烈→锐利眼型；疯狂→破损细节,第一眼虔诚，第二眼暴烈，第三眼疯狂
PS00353,坚毅,悲悯,执拗,坚毅、悲悯、执拗,坚毅→收紧动作幅度与表情；悲悯→锐利眼型；执拗→高洁材质,第一眼坚毅，第二眼悲悯，第三眼执拗
PS00354,市井,野性,危险,市井、野性、危险,市井→收紧动作幅度与表情；野性→强烈轮廓；危险→层叠结构,第一眼市井，第二眼野性，第三眼危险
PS00355,克制,隐忍,高贵,克制、隐忍、高贵,克制→收紧动作幅度与表情；隐忍→非人平静；高贵→高洁材质,第一眼克制，第二眼隐忍，第三眼高贵
PS00356,明亮,暴烈,沧桑,明亮、暴烈、沧桑,明亮→收紧动作幅度与表情；暴烈→锐利眼型；沧桑→层叠结构,第一眼明亮，第二眼暴烈，第三眼沧桑
PS00357,野性,散漫,可靠,野性、散漫、可靠,野性→收紧动作幅度与表情；散漫→放松眼尾/嘴角；可靠→高洁材质,第一眼野性，第二眼散漫，第三眼可靠
PS00358,病弱,叛逆,局促,病弱、叛逆、局促,病弱→收紧动作幅度与表情；叛逆→锐利眼型；局促→高洁材质,第一眼病弱，第二眼叛逆，第三眼局促
PS00359,妖异,神性,虔诚,妖异、神性、虔诚,妖异→收紧动作幅度与表情；神性→结构不对称；虔诚→高洁材质,第一眼妖异，第二眼神性，第三眼虔诚
PS00360,散漫,局促,直率,散漫、局促、直率,散漫→收紧动作幅度与表情；局促→强烈轮廓；直率→层叠结构,第一眼散漫，第二眼局促，第三眼直率
PS00361,温柔,野性,温润,温柔、野性、温润,温柔→收紧动作幅度与表情；野性→放松眼尾/嘴角；温润→简洁剪影,第一眼温柔，第二眼野性，第三眼温润
PS00362,隐忍,疯狂,温润,隐忍、疯狂、温润,隐忍→收紧动作幅度与表情；疯狂→稳定眼神；温润→破损细节,第一眼隐忍，第二眼疯狂，第三眼温润
PS00363,神秘,温雅,警觉,神秘、温雅、警觉,神秘→收紧动作幅度与表情；温雅→强烈轮廓；警觉→简洁剪影,第一眼神秘，第二眼温雅，第三眼警觉
PS00364,高贵,凌厉,温雅,高贵、凌厉、温雅,高贵→收紧动作幅度与表情；凌厉→放松眼尾/嘴角；温雅→高洁材质,第一眼高贵，第二眼凌厉，第三眼温雅
PS00365,狠戾,坚毅,清冷,狠戾、坚毅、清冷,狠戾→收紧动作幅度与表情；坚毅→结构不对称；清冷→高洁材质,第一眼狠戾，第二眼坚毅，第三眼清冷
PS00366,冷酷,克制,神秘,冷酷、克制、神秘,冷酷→收紧动作幅度与表情；克制→锐利眼型；神秘→反差配色,第一眼冷酷，第二眼克制，第三眼神秘
PS00367,强健,温柔,市井,强健、温柔、市井,强健→收紧动作幅度与表情；温柔→材质温润；市井→简洁剪影,第一眼强健，第二眼温柔，第三眼市井
PS00368,妖异,沉稳,直率,妖异、沉稳、直率,妖异→收紧动作幅度与表情；沉稳→结构不对称；直率→高洁材质,第一眼妖异，第二眼沉稳，第三眼直率
PS00369,警觉,慵懒,阴郁,警觉、慵懒、阴郁,警觉→收紧动作幅度与表情；慵懒→锐利眼型；阴郁→破损细节,第一眼警觉，第二眼慵懒，第三眼阴郁
PS00370,温柔,执拗,克己,温柔、执拗、克己,温柔→收紧动作幅度与表情；执拗→强烈轮廓；克己→高洁材质,第一眼温柔，第二眼执拗，第三眼克己
PS00371,可靠,温润,躁动,可靠、温润、躁动,可靠→收紧动作幅度与表情；温润→稳定眼神；躁动→破损细节,第一眼可靠，第二眼温润，第三眼躁动
PS00372,强健,亲和,警觉,强健、亲和、警觉,强健→收紧动作幅度与表情；亲和→结构不对称；警觉→层叠结构,第一眼强健，第二眼亲和，第三眼警觉
PS00373,冷酷,市井,直率,冷酷、市井、直率,冷酷→收紧动作幅度与表情；市井→强烈轮廓；直率→反差配色,第一眼冷酷，第二眼市井，第三眼直率
PS00374,叛逆,可靠,清冷,叛逆、可靠、清冷,叛逆→收紧动作幅度与表情；可靠→非人平静；清冷→层叠结构,第一眼叛逆，第二眼可靠，第三眼清冷
PS00375,疯狂,通透,慵懒,疯狂、通透、慵懒,疯狂→收紧动作幅度与表情；通透→强烈轮廓；慵懒→破损细节,第一眼疯狂，第二眼通透，第三眼慵懒
PS00376,坦然,明亮,神性,坦然、明亮、神性,坦然→收紧动作幅度与表情；明亮→放松眼尾/嘴角；神性→反差配色,第一眼坦然，第二眼明亮，第三眼神性
PS00377,沉稳,神秘,明亮,沉稳、神秘、明亮,沉稳→收紧动作幅度与表情；神秘→材质温润；明亮→高洁材质,第一眼沉稳，第二眼神秘，第三眼明亮
PS00378,疯狂,强健,清冷,疯狂、强健、清冷,疯狂→收紧动作幅度与表情；强健→结构不对称；清冷→简洁剪影,第一眼疯狂，第二眼强健，第三眼清冷
PS00379,沧桑,强健,天真,沧桑、强健、天真,沧桑→收紧动作幅度与表情；强健→非人平静；天真→层叠结构,第一眼沧桑，第二眼强健，第三眼天真
PS00380,局促,克制,明亮,局促、克制、明亮,局促→收紧动作幅度与表情；克制→强烈轮廓；明亮→高洁材质,第一眼局促，第二眼克制，第三眼明亮
PS00381,温润,亲和,局促,温润、亲和、局促,温润→收紧动作幅度与表情；亲和→稳定眼神；局促→破损细节,第一眼温润，第二眼亲和，第三眼局促
PS00382,高贵,市井,强健,高贵、市井、强健,高贵→收紧动作幅度与表情；市井→结构不对称；强健→简洁剪影,第一眼高贵，第二眼市井，第三眼强健
PS00383,直率,放纵,神性,直率、放纵、神性,直率→收紧动作幅度与表情；放纵→稳定眼神；神性→层叠结构,第一眼直率，第二眼放纵，第三眼神性
PS00384,危险,坚毅,凌厉,危险、坚毅、凌厉,危险→收紧动作幅度与表情；坚毅→材质温润；凌厉→破损细节,第一眼危险，第二眼坚毅，第三眼凌厉
PS00385,危险,局促,柔软,危险、局促、柔软,危险→收紧动作幅度与表情；局促→放松眼尾/嘴角；柔软→反差配色,第一眼危险，第二眼局促，第三眼柔软
PS00386,疯狂,坦然,狠戾,疯狂、坦然、狠戾,疯狂→收紧动作幅度与表情；坦然→稳定眼神；狠戾→层叠结构,第一眼疯狂，第二眼坦然，第三眼狠戾
PS00387,隐忍,疯狂,坚毅,隐忍、疯狂、坚毅,隐忍→收紧动作幅度与表情；疯狂→稳定眼神；坚毅→反差配色,第一眼隐忍，第二眼疯狂，第三眼坚毅
PS00388,清冷,市井,叛逆,清冷、市井、叛逆,清冷→收紧动作幅度与表情；市井→锐利眼型；叛逆→高洁材质,第一眼清冷，第二眼市井，第三眼叛逆
PS00389,虔诚,叛逆,坦然,虔诚、叛逆、坦然,虔诚→收紧动作幅度与表情；叛逆→结构不对称；坦然→反差配色,第一眼虔诚，第二眼叛逆，第三眼坦然
PS00390,可靠,慵懒,暴烈,可靠、慵懒、暴烈,可靠→收紧动作幅度与表情；慵懒→非人平静；暴烈→层叠结构,第一眼可靠，第二眼慵懒，第三眼暴烈
PS00391,清冷,妖异,可靠,清冷、妖异、可靠,清冷→收紧动作幅度与表情；妖异→非人平静；可靠→简洁剪影,第一眼清冷，第二眼妖异，第三眼可靠
PS00392,神性,清冷,神秘,神性、清冷、神秘,神性→收紧动作幅度与表情；清冷→放松眼尾/嘴角；神秘→层叠结构,第一眼神性，第二眼清冷，第三眼神秘
PS00393,温雅,温柔,悲悯,温雅、温柔、悲悯,温雅→收紧动作幅度与表情；温柔→结构不对称；悲悯→高洁材质,第一眼温雅，第二眼温柔，第三眼悲悯
PS00394,克制,沉静,明亮,克制、沉静、明亮,克制→收紧动作幅度与表情；沉静→锐利眼型；明亮→破损细节,第一眼克制，第二眼沉静，第三眼明亮
PS00395,躁动,虔诚,沧桑,躁动、虔诚、沧桑,躁动→收紧动作幅度与表情；虔诚→非人平静；沧桑→高洁材质,第一眼躁动，第二眼虔诚，第三眼沧桑
PS00396,疯狂,阴郁,凌厉,疯狂、阴郁、凌厉,疯狂→收紧动作幅度与表情；阴郁→稳定眼神；凌厉→高洁材质,第一眼疯狂，第二眼阴郁，第三眼凌厉
PS00397,通透,危险,强健,通透、危险、强健,通透→收紧动作幅度与表情；危险→锐利眼型；强健→反差配色,第一眼通透，第二眼危险，第三眼强健
PS00398,柔软,沉稳,温润,柔软、沉稳、温润,柔软→收紧动作幅度与表情；沉稳→非人平静；温润→破损细节,第一眼柔软，第二眼沉稳，第三眼温润
PS00399,明亮,狠戾,放纵,明亮、狠戾、放纵,明亮→收紧动作幅度与表情；狠戾→结构不对称；放纵→层叠结构,第一眼明亮，第二眼狠戾，第三眼放纵
PS00400,天真,沉稳,温润,天真、沉稳、温润,天真→收紧动作幅度与表情；沉稳→非人平静；温润→反差配色,第一眼天真，第二眼沉稳，第三眼温润
PS00401,悲悯,暴烈,温润,悲悯、暴烈、温润,悲悯→收紧动作幅度与表情；暴烈→非人平静；温润→层叠结构,第一眼悲悯，第二眼暴烈，第三眼温润
PS00402,坚毅,危险,野性,坚毅、危险、野性,坚毅→收紧动作幅度与表情；危险→稳定眼神；野性→高洁材质,第一眼坚毅，第二眼危险，第三眼野性
PS00403,坦然,局促,克己,坦然、局促、克己,坦然→收紧动作幅度与表情；局促→材质温润；克己→简洁剪影,第一眼坦然，第二眼局促，第三眼克己
PS00404,温润,叛逆,坦然,温润、叛逆、坦然,温润→收紧动作幅度与表情；叛逆→材质温润；坦然→简洁剪影,第一眼温润，第二眼叛逆，第三眼坦然
PS00405,悲悯,散漫,温雅,悲悯、散漫、温雅,悲悯→收紧动作幅度与表情；散漫→放松眼尾/嘴角；温雅→反差配色,第一眼悲悯，第二眼散漫，第三眼温雅
PS00406,病弱,沉稳,危险,病弱、沉稳、危险,病弱→收紧动作幅度与表情；沉稳→放松眼尾/嘴角；危险→层叠结构,第一眼病弱，第二眼沉稳，第三眼危险
PS00407,清冷,凌厉,叛逆,清冷、凌厉、叛逆,清冷→收紧动作幅度与表情；凌厉→非人平静；叛逆→简洁剪影,第一眼清冷，第二眼凌厉，第三眼叛逆
PS00408,凌厉,悲悯,高贵,凌厉、悲悯、高贵,凌厉→收紧动作幅度与表情；悲悯→稳定眼神；高贵→简洁剪影,第一眼凌厉，第二眼悲悯，第三眼高贵
PS00409,温柔,温润,慵懒,温柔、温润、慵懒,温柔→收紧动作幅度与表情；温润→放松眼尾/嘴角；慵懒→高洁材质,第一眼温柔，第二眼温润，第三眼慵懒
PS00410,从容,明亮,温润,从容、明亮、温润,从容→收紧动作幅度与表情；明亮→结构不对称；温润→破损细节,第一眼从容，第二眼明亮，第三眼温润
PS00411,狠戾,执拗,沧桑,狠戾、执拗、沧桑,狠戾→收紧动作幅度与表情；执拗→材质温润；沧桑→层叠结构,第一眼狠戾，第二眼执拗，第三眼沧桑
PS00412,高贵,狠戾,亲和,高贵、狠戾、亲和,高贵→收紧动作幅度与表情；狠戾→结构不对称；亲和→反差配色,第一眼高贵，第二眼狠戾，第三眼亲和
PS00413,从容,虔诚,温雅,从容、虔诚、温雅,从容→收紧动作幅度与表情；虔诚→非人平静；温雅→反差配色,第一眼从容，第二眼虔诚，第三眼温雅
PS00414,虔诚,通透,亲和,虔诚、通透、亲和,虔诚→收紧动作幅度与表情；通透→结构不对称；亲和→层叠结构,第一眼虔诚，第二眼通透，第三眼亲和
PS00415,神秘,警觉,高贵,神秘、警觉、高贵,神秘→收紧动作幅度与表情；警觉→材质温润；高贵→简洁剪影,第一眼神秘，第二眼警觉，第三眼高贵
PS00416,虔诚,市井,温雅,虔诚、市井、温雅,虔诚→收紧动作幅度与表情；市井→结构不对称；温雅→破损细节,第一眼虔诚，第二眼市井，第三眼温雅
PS00417,警觉,温润,直率,警觉、温润、直率,警觉→收紧动作幅度与表情；温润→材质温润；直率→简洁剪影,第一眼警觉，第二眼温润，第三眼直率
PS00418,妖异,虔诚,叛逆,妖异、虔诚、叛逆,妖异→收紧动作幅度与表情；虔诚→结构不对称；叛逆→反差配色,第一眼妖异，第二眼虔诚，第三眼叛逆
PS00419,隐忍,沧桑,温润,隐忍、沧桑、温润,隐忍→收紧动作幅度与表情；沧桑→锐利眼型；温润→层叠结构,第一眼隐忍，第二眼沧桑，第三眼温润
PS00420,从容,坦然,清冷,从容、坦然、清冷,从容→收紧动作幅度与表情；坦然→强烈轮廓；清冷→简洁剪影,第一眼从容，第二眼坦然，第三眼清冷
PS00421,从容,温柔,危险,从容、温柔、危险,从容→收紧动作幅度与表情；温柔→材质温润；危险→简洁剪影,第一眼从容，第二眼温柔，第三眼危险
PS00422,阴郁,躁动,危险,阴郁、躁动、危险,阴郁→收紧动作幅度与表情；躁动→材质温润；危险→简洁剪影,第一眼阴郁，第二眼躁动，第三眼危险
PS00423,温雅,孤傲,聪慧,温雅、孤傲、聪慧,温雅→收紧动作幅度与表情；孤傲→强烈轮廓；聪慧→反差配色,第一眼温雅，第二眼孤傲，第三眼聪慧
PS00424,执拗,隐忍,散漫,执拗、隐忍、散漫,执拗→收紧动作幅度与表情；隐忍→锐利眼型；散漫→层叠结构,第一眼执拗，第二眼隐忍，第三眼散漫
PS00425,散漫,野性,局促,散漫、野性、局促,散漫→收紧动作幅度与表情；野性→材质温润；局促→反差配色,第一眼散漫，第二眼野性，第三眼局促
PS00426,克己,叛逆,明亮,克己、叛逆、明亮,克己→收紧动作幅度与表情；叛逆→强烈轮廓；明亮→反差配色,第一眼克己，第二眼叛逆，第三眼明亮
